Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent
1.0,Bayern Munich,2,0,0,9,2,7,6,RB Leipzig,11.0,22.08.2025,19:30,home,6,0,W,team,1.64,0.54,0.63,0.37,19,12,10,1,7,1,5,5,0.91,0.82,4.0,1.0,3.17,0.13,4,4,5,7,13,7,6,5,1,0,35,27,5,1,2,0,13,11,0.64,0.46,0.83,0.67,0.15,0.14,2.23,0.93,14,9,13,13,0.54,0.67,44,45,16,22,10,9,1,1,1,1,1,4,0.13,3.17,-0.87,-2.83,0.0,0.0,0.0,0.0
1.0,Bayern Munich,2,0,0,9,2,7,6,Augsburg,7.0,30.08.2025,17:30,away,3,2,W,team,4.23,0.51,0.58,0.42,20,10,10,3,9,0,5,7,0.84,0.79,4.0,3.0,4.61,1.29,5,6,5,1,16,7,4,3,0,0,37,21,6,0,3,4,12,10,0.52,0.34,0.71,0.58,0.25,0.22,2.61,0.59,22,21,11,14,0.64,0.62,45,51,24,31,10,11,0,2,1,1,1,7,1.29,4.61,-0.71,1.61,1.0,0.0,0.0,0.0
2.0,Eintracht Frankfurt,2,0,0,7,2,5,6,Werder Bremen,16.0,23.08.2025,14:30,home,4,1,W,team,2.74,0.52,0.53,0.47,18,10,5,5,4,1,7,1,0.85,0.81,1.0,3.0,2.35,1.12,9,4,4,1,15,4,3,6,1,0,35,23,0,0,2,3,9,8,0.62,0.53,0.76,0.67,0.31,0.5,2.05,0.82,18,21,9,9,0.52,0.5,54,41,16,32,15,7,0,0,0,1,4,1,1.12,2.35,0.12,-1.65,1.0,0.0,0.0,0.0
2.0,Eintracht Frankfurt,2,0,0,7,2,5,6,Hoffenheim,9.0,30.08.2025,14:30,away,3,1,W,team,1.56,1.37,0.42,0.58,9,17,6,5,3,2,5,4,0.76,0.83,3.0,2.0,2.65,1.15,1,10,2,2,5,11,4,6,0,0,16,28,2,0,1,3,13,9,0.45,0.48,0.59,0.67,0.07,0.34,1.39,0.93,24,25,10,14,0.8,0.69,43,45,37,25,9,5,0,0,0,0,4,3,1.15,2.65,0.15,-0.35,0.0,0.0,0.0,0.0
3.0,FC Koln,2,0,0,5,1,4,6,Mainz,13.0,24.08.2025,14:30,away,1,0,W,team,1.35,1.53,0.49,0.51,12,19,2,2,3,1,3,8,0.81,0.78,2.0,0.0,0.96,0.2,8,5,2,12,8,14,4,5,0,0,21,44,0,0,0,5,7,9,0.4,0.53,0.66,0.65,0.36,0.38,1.22,2.11,22,29,9,7,0.9,0.9,42,60,68,23,4,3,0,0,0,0,2,1,0.2,0.96,0.2,-0.04,1.0,0.0,0.0,1.0
3.0,FC Koln,2,0,0,5,1,4,6,Freiburg,18.0,31.08.2025,18:30,home,4,1,W,team,2.11,0.91,0.39,0.61,18,12,6,2,4,2,3,5,0.79,0.85,2.0,1.0,2.69,0.93,7,8,5,2,12,8,6,4,0,0,25,26,0,1,1,2,7,12,0.37,0.51,0.62,0.72,0.64,0.21,1.3,1.6,12,21,12,9,0.78,0.38,37,46,48,17,5,4,0,1,0,1,1,2,0.93,2.69,-0.07,-1.31,1.0,1.0,0.0,0.0
4.0,Dortmund,1,1,0,6,3,3,4,St. Pauli,5.0,23.08.2025,17:30,away,3,3,D,draw,1.56,1.28,0.49,0.51,8,11,7,7,4,2,2,5,0.86,0.82,3.0,2.0,2.72,2.26,1,3,0,1,7,8,1,3,0,0,19,27,2,1,3,4,13,12,0.44,0.42,0.6,0.71,0.63,0.21,1.8,1.06,17,23,12,13,0.5,0.5,44,45,45,13,8,7,1,1,0,0,4,4,2.26,2.72,-0.74,-0.28,1.0,1.0,1.0,0.0
4.0,Dortmund,1,1,0,6,3,3,4,Union Berlin,10.0,31.08.2025,16:30,home,3,0,W,team,2.51,1.15,0.65,0.35,11,12,6,3,4,2,4,6,0.9,0.8,0.0,0.0,2.81,0.61,2,6,3,3,9,8,2,4,0,0,21,14,2,0,1,1,7,13,0.52,0.39,0.78,0.53,0.21,0.32,2.17,0.7,12,11,14,7,0.6,0.58,37,39,32,20,4,10,1,1,0,0,3,3,0.61,2.81,0.61,-0.19,0.0,0.0,0.0,0.0
5.0,St. Pauli,1,1,0,5,3,2,4,Dortmund,4.0,23.08.2025,17:30,home,3,3,D,draw,1.28,1.56,0.51,0.49,11,8,7,7,2,4,5,2,0.82,0.86,2.0,3.0,2.26,2.72,3,1,1,0,8,7,3,1,0,0,27,19,1,2,4,3,12,13,0.42,0.44,0.71,0.6,0.21,0.63,1.06,1.8,23,17,13,12,0.5,0.5,45,44,13,45,7,8,1,1,0,0,4,4,2.72,2.26,-0.28,-0.74,1.0,1.0,0.0,1.0
5.0,St. Pauli,1,1,0,5,3,2,4,Hamburger SV,15.0,29.08.2025,19:30,away,2,0,W,team,1.44,0.35,0.52,0.48,17,5,6,2,2,2,5,2,0.81,0.82,3.0,3.0,1.38,0.17,5,2,6,1,11,2,6,3,0,0,24,11,2,2,2,1,13,18,0.44,0.41,0.66,0.59,0.13,0.2,0.83,0.8,26,16,19,13,0.54,0.64,52,59,24,34,7,9,0,0,0,0,2,4,0.17,1.38,-0.83,-0.62,0.0,0.0,0.0,1.0
6.0,Wolfsburg,1,1,0,4,2,2,4,Heidenheim,17.0,23.08.2025,14:30,away,3,1,W,team,2.45,0.71,0.51,0.49,15,7,5,2,4,1,5,2,0.8,0.83,3.0,2.0,2.77,0.45,9,4,1,1,6,2,9,5,0,0,20,11,0,0,0,2,12,12,0.44,0.35,0.66,0.65,0.25,0.2,1.75,0.33,20,18,12,12,0.55,0.5,47,41,19,22,11,7,1,3,0,0,1,2,0.45,2.77,-0.55,-0.23,1.0,0.0,0.0,0.0
6.0,Wolfsburg,1,1,0,4,2,2,4,Mainz,13.0,31.08.2025,14:30,home,1,1,D,draw,0.61,1.95,0.4,0.6,11,17,3,3,1,4,3,10,0.72,0.84,3.0,5.0,0.35,1.08,5,8,3,6,7,14,4,3,0,2,12,41,0,1,0,0,14,13,0.36,0.5,0.56,0.75,0.1,0.23,0.27,1.44,27,25,15,14,0.54,0.62,53,54,54,22,12,13,1,0,0,0,2,2,1.08,0.35,0.08,-0.65,0.0,0.0,1.0,0.0
7.0,Augsburg,1,0,1,5,4,1,3,Freiburg,18.0,23.08.2025,14:30,away,3,1,W,team,1.34,2.6,0.4,0.6,14,16,5,4,1,3,5,5,0.72,0.81,5.0,4.0,2.11,2.14,3,6,6,6,9,12,5,4,0,0,19,31,0,1,3,4,13,15,0.34,0.48,0.62,0.66,0.24,0.21,0.54,1.2,14,27,18,14,0.6,0.69,46,62,49,31,12,13,1,3,0,1,3,2,2.14,2.11,1.14,-0.89,1.0,0.0,0.0,0.0
7.0,Augsburg,1,0,1,5,4,1,3,Bayern Munich,1.0,30.08.2025,17:30,home,2,3,L,opponent,0.51,4.23,0.42,0.58,10,20,3,10,0,9,7,5,0.79,0.84,3.0,4.0,1.29,4.61,6,5,1,5,7,16,3,4,0,0,21,37,0,6,4,3,10,12,0.34,0.52,0.58,0.71,0.22,0.25,0.59,2.61,21,22,14,11,0.62,0.64,51,45,31,24,11,10,2,0,1,1,7,1,4.61,1.29,1.61,-0.71,0.0,1.0,0.0,0.0
8.0,Stuttgart,1,0,1,2,2,0,3,Union Berlin,10.0,23.08.2025,14:30,away,1,2,L,opponent,1.72,0.35,0.75,0.25,21,8,6,2,4,0,11,5,0.89,0.63,4.0,4.0,2.13,0.25,9,5,6,1,14,6,7,2,2,1,34,14,0,0,1,2,20,12,0.43,0.46,0.73,0.58,0.29,0.31,3.04,0.52,17,12,13,21,0.46,0.56,57,54,28,45,3,7,1,0,0,0,0,5,0.25,2.13,-1.75,1.13,0.0,0.0,0.0,0.0
8.0,Stuttgart,1,0,1,2,2,0,3,B. Monchengladbach,14.0,30.08.2025,14:30,home,1,0,W,team,0.84,1.82,0.51,0.49,13,15,5,6,1,2,6,10,0.88,0.85,2.0,1.0,1.26,1.62,3,7,5,2,9,14,4,1,0,0,27,33,1,0,2,4,13,5,0.5,0.61,0.78,0.78,0.26,0.19,0.94,1.45,13,21,5,13,0.71,0.6,40,42,23,25,8,9,0,0,0,0,6,4,1.62,1.26,1.62,0.26,1.0,0.0,0.0,0.0
9.0,Hoffenheim,1,0,1,3,4,-1,3,Bayer Leverkusen,12.0,23.08.2025,14:30,away,2,1,W,team,0.45,0.71,0.4,0.6,10,7,5,2,0,1,4,6,0.81,0.87,4.0,0.0,0.86,1.49,4,3,1,2,6,4,4,3,1,0,23,14,0,0,1,1,9,16,0.56,0.49,0.67,0.72,0.55,0.12,0.51,0.64,18,22,17,9,0.67,0.86,35,47,26,14,10,9,0,0,0,0,1,3,1.49,0.86,0.49,-1.14,0.0,1.0,0.0,0.0
9.0,Hoffenheim,1,0,1,3,4,-1,3,Eintracht Frankfurt,2.0,30.08.2025,14:30,home,1,3,L,opponent,1.37,1.56,0.58,0.42,17,9,5,6,2,3,4,5,0.83,0.76,2.0,3.0,1.15,2.65,10,1,2,2,11,5,6,4,0,0,28,16,0,2,3,1,9,13,0.48,0.45,0.67,0.59,0.34,0.07,0.93,1.39,25,24,14,10,0.69,0.8,45,43,25,37,5,9,0,0,0,0,3,4,2.65,1.15,-0.35,0.15,0.0,0.0,0.0,0.0
10.0,Union Berlin,1,0,1,2,4,-2,3,Stuttgart,8.0,23.08.2025,14:30,home,2,1,W,team,0.35,1.72,0.25,0.75,8,21,2,6,0,4,5,11,0.63,0.89,4.0,4.0,0.25,2.13,5,9,1,6,6,14,2,7,1,2,14,34,0,0,2,1,12,20,0.46,0.43,0.58,0.73,0.31,0.29,0.52,3.04,12,17,21,13,0.56,0.46,54,57,45,28,7,3,0,1,0,0,5,0,2.13,0.25,1.13,-1.75,0.0,0.0,0.0,0.0
10.0,Union Berlin,1,0,1,2,4,-2,3,Dortmund,4.0,31.08.2025,16:30,away,0,3,L,opponent,1.15,2.51,0.35,0.65,12,11,3,6,2,4,6,4,0.8,0.9,0.0,0.0,0.61,2.81,6,2,3,3,8,9,4,2,0,0,14,21,0,2,1,1,13,7,0.39,0.52,0.53,0.78,0.32,0.21,0.7,2.17,11,12,7,14,0.58,0.6,39,37,20,32,10,4,1,1,0,0,3,3,2.81,0.61,-0.19,0.61,0.0,0.0,0.0,0.0
11.0,RB Leipzig,1,0,1,2,6,-4,3,Bayern Munich,1.0,22.08.2025,19:30,away,0,6,L,opponent,0.54,1.64,0.37,0.63,12,19,1,10,1,7,5,5,0.82,0.91,1.0,4.0,0.13,3.17,4,4,7,5,7,13,5,6,0,1,27,35,1,5,0,2,11,13,0.46,0.64,0.67,0.83,0.14,0.15,0.93,2.23,9,14,13,13,0.67,0.54,45,44,22,16,9,10,1,1,1,1,4,1,3.17,0.13,-2.83,-0.87,0.0,0.0,0.0,0.0
11.0,RB Leipzig,1,0,1,2,6,-4,3,Heidenheim,17.0,30.08.2025,14:30,home,2,0,W,team,2.22,1.01,0.66,0.34,19,5,5,3,5,2,4,3,0.87,0.72,2.0,5.0,1.81,0.53,10,1,4,1,16,5,3,1,1,0,36,12,0,1,1,2,13,7,0.5,0.34,0.72,0.48,0.3,0.15,2.12,0.82,20,15,7,13,0.82,0.56,62,36,25,20,8,7,0,1,0,0,3,3,0.53,1.81,0.53,-0.19,0.0,0.0,0.0,0.0
12.0,Bayer Leverkusen,0,1,1,4,5,-1,1,Hoffenheim,9.0,23.08.2025,14:30,home,1,2,L,opponent,0.71,0.45,0.6,0.4,7,10,2,5,1,0,6,4,0.87,0.81,0.0,4.0,1.49,0.86,3,4,2,1,4,6,3,4,0,1,14,23,0,0,1,1,16,9,0.49,0.56,0.72,0.67,0.12,0.55,0.64,0.51,22,18,9,17,0.86,0.67,47,35,14,26,9,10,0,0,0,0,3,1,0.86,1.49,-1.14,0.49,1.0,0.0,0.0,0.0
12.0,Bayer Leverkusen,0,1,1,4,5,-1,1,Werder Bremen,16.0,30.08.2025,14:30,away,3,3,D,draw,2.11,2.59,0.55,0.45,10,12,4,5,4,5,7,3,0.89,0.84,3.0,4.0,2.11,2.78,3,7,3,0,7,8,3,4,1,1,20,23,0,0,1,1,11,10,0.56,0.49,0.8,0.71,0.12,0.22,1.24,1.45,16,17,10,11,0.67,0.82,40,44,19,24,7,5,1,1,1,1,2,1,2.78,2.11,-0.22,-0.89,0.0,0.0,0.0,1.0
13.0,Mainz,0,1,1,1,2,-1,1,FC Koln,3.0,24.08.2025,14:30,home,0,1,L,opponent,1.53,1.35,0.51,0.49,19,12,2,2,1,3,8,3,0.78,0.81,0.0,2.0,0.2,0.96,5,8,12,2,14,8,5,4,0,0,44,21,0,0,5,0,9,7,0.53,0.4,0.65,0.66,0.38,0.36,2.11,1.22,29,22,7,9,0.9,0.9,60,42,23,68,3,4,0,0,0,0,1,2,0.96,0.2,-0.04,0.2,0.0,1.0,1.0,0.0
13.0,Mainz,0,1,1,1,2,-1,1,Wolfsburg,6.0,31.08.2025,14:30,away,1,1,D,draw,1.95,0.61,0.6,0.4,17,11,3,3,4,1,10,3,0.84,0.72,5.0,3.0,1.08,0.35,8,5,6,3,14,7,3,4,2,0,41,12,1,0,0,0,13,14,0.5,0.36,0.75,0.56,0.23,0.1,1.44,0.27,25,27,14,15,0.62,0.54,54,53,22,54,13,12,0,1,0,0,2,2,0.35,1.08,-0.65,0.08,0.0,0.0,0.0,1.0
