Rank,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,opponent_rank,Time,team_goals,opponent_goals,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent
1.0,21,5,4,55,33,22,68,16.0,0.97249999951375,1,0,2.29,0.27,0.64,0.36,17,5,5,0,3.0,0.0,7,2,0.92,0.82,1.0,2.0,0.0,1.0,7,3,5.0,2.0,15.0,3.0,2.0,2.0,0.0,0.0,37.0,6.0,3,0,11.0,9.0,0.79,0.69,0.23,0.13,21,13,9,11,0.5,0.75,14.0,31.0,10.0,7.0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21,5,4,55,33,22,68,14.0,0.6149999996925,2,2,1.1,1.32,0.6,0.4,23,15,3,6,0.0,2.0,7,5,0.88,0.83,1.0,2.0,0.0,0.0,9,6,11.0,3.0,12.0,9.0,10.0,6.0,0.0,0.0,24.0,29.0,2,1,9.0,7.0,0.74,0.71,0.33,0.31,15,16,7,9,0.73,0.61,20.0,28.0,14.0,8.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21,5,4,55,33,22,68,3.0,0.97249999951375,0,1,0.74,1.47,0.53,0.47,3,11,1,4,1.0,3.0,2,4,0.77,0.77,4.0,5.0,1.0,0.0,1,4,1.0,3.0,3.0,8.0,0.0,3.0,0.0,0.0,19.0,24.0,1,0,17.0,16.0,0.58,0.69,0.23,0.38,25,20,16,17,0.57,0.65,17.0,40.0,10.0,5.0,3,1,0.1,1.46,0.0,1.0,0.0,1.0,0.5,0.46,0.58,0.59,63.0,53.0,1.46,0.1,0.46,0.1
1.0,21,5,4,55,33,22,68,11.0,0.85749999957125,1,3,0.0,0.0,0.64,0.36,18,11,7,5,0.0,0.0,10,2,0.0,0.0,2.0,2.0,0.0,0.0,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,27,15,16,12,0.0,0.0,0.0,0.0,0.0,0.0,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21,5,4,55,33,22,68,5.0,0.6149999996925,2,0,1.64,1.11,0.59,0.41,16,7,7,0,0.0,0.0,3,5,0.88,0.8,2.0,2.0,0.0,0.0,5,5,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,16.0,12.0,0.0,0.0,0.0,0.0,19,15,12,16,0.0,0.0,0.0,0.0,10.0,13.0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21,5,4,55,33,22,68,15.0,0.85749999957125,1,2,1.88,0.8,0.76,0.24,18,8,7,3,0.0,0.0,9,3,0.89,0.72,1.0,3.0,0.0,0.0,6,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,8.0,11.0,0.0,0.0,0.0,0.0,20,13,10,8,0.0,0.0,0.0,0.0,8.0,12.0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21,5,4,55,33,22,68,4.0,0.8649999995675,2,1,1.22,0.75,0.53,0.47,13,10,5,4,2.0,0.0,3,4,0.88,0.83,2.0,2.0,0.0,0.0,6,2,2.0,4.0,10.0,7.0,3.0,3.0,0.0,0.0,21.0,27.0,2,2,11.0,11.0,0.77,0.66,0.31,0.29,19,17,11,11,0.68,0.6,30.0,12.0,9.0,13.0,3,3,1.02,0.79,0.0,1.0,0.0,0.0,0.56,0.47,0.54,0.89,57.0,42.0,0.79,1.02,-0.21,-0.98
1.0,21,5,4,55,33,22,68,15.0,0.749999999625,3,2,1.89,1.2,0.72,0.28,12,16,6,4,4.0,2.0,1,8,0.89,0.69,4.0,3.0,0.0,0.0,3,8,3.0,4.0,12.0,9.0,0.0,7.0,1.0,0.0,22.0,23.0,2,0,11.0,12.0,0.78,0.56,0.42,0.27,10,20,12,11,0.67,0.71,28.0,12.0,8.0,8.0,2,3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21,5,4,55,33,22,68,13.0,0.97249999951375,2,1,2.47,0.44,0.62,0.38,16,11,6,4,4.0,1.0,2,3,0.81,0.64,0.0,2.0,0.0,1.0,6,4,4.0,3.0,11.0,6.0,5.0,5.0,0.0,0.0,38.0,17.0,2,2,12.0,2.0,0.78,0.54,0.56,0.14,27,21,2,12,0.53,0.68,38.0,14.0,9.0,10.0,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21,5,4,55,33,22,68,12.0,0.97249999951375,1,0,1.5,1.53,0.61,0.39,14,13,5,2,3.0,2.0,6,2,0.81,0.72,0.0,1.0,0.0,0.0,3,7,6.0,4.0,9.0,8.0,5.0,5.0,0.0,0.0,22.0,27.0,3,5,11.0,11.0,0.72,0.63,0.29,0.39,21,22,11,11,0.69,0.65,26.0,38.0,10.0,4.0,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21,5,4,55,33,22,68,3.0,0.8649999995675,0,4,0.64,2.66,0.71,0.29,13,18,4,7,0.0,0.0,5,2,0.88,0.76,4.0,2.0,0.0,0.0,6,4,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,15.0,11.0,0.0,0.0,0.0,0.0,18,15,11,15,0.0,0.0,0.0,0.0,12.0,8.0,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21,5,4,55,33,22,68,11.0,0.85749999957125,2,0,2.12,0.86,0.41,0.59,12,16,5,3,5.0,2.0,2,6,0.83,0.87,1.0,5.0,1.0,0.0,4,7,3.0,6.0,9.0,10.0,3.0,6.0,1.0,0.0,25.0,27.0,2,1,21.0,13.0,0.71,0.82,0.4,0.2,15,16,13,21,0.5,0.45,25.0,10.0,8.0,6.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21,5,4,55,33,22,68,2.0,0.8649999995675,0,2,0.64,1.05,0.45,0.55,10,13,3,3,1.0,1.0,5,3,0.87,0.87,2.0,3.0,1.0,0.0,5,7,2.0,3.0,4.0,9.0,6.0,4.0,0.0,0.0,13.0,32.0,0,0,13.0,8.0,0.72,0.71,0.4,0.21,15,15,8,13,0.55,0.57,18.0,15.0,13.0,4.0,1,3,0.19,0.16,0.0,0.0,0.0,2.0,0.6,0.5,0.41,1.27,30.0,48.0,0.16,0.19,-1.84,0.19
