Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent
1.0,Sporting CP,25,7,2,88,27,61,82,Estrela,15.0,01.11.2024,20:15,home,5,1,W,team,3.26,1.83,0.64,0.36,20.0,9.0,8.0,5.0,12.0,2.0,0.88,0.82,0.0,4.0,5.0,3.0,7.0,1.0,0.0,1.0,15.0,13.0,13.0,11.0,13.0,15.0,5.0,8.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Sporting CP,25,7,2,88,27,61,82,SC Farense,17.0,02.02.2025,18:00,home,3,1,W,team,1.41,0.86,0.71,0.29,21.0,6.0,7.0,2.0,9.0,1.0,0.93,0.77,1.0,0.0,8.0,2.0,6.0,2.0,1.0,2.0,8.0,12.0,13.0,22.0,12.0,8.0,6.0,6.0,1.0,4.0,3.0,1.0,9.0,4.0,12.0,2.0,1.0,0.0,1.0,1.0,34.0,7.0,0.85,0.54,0.19,0.22,0.67,0.46,15.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Sporting CP,25,7,2,88,27,61,82,Vitoria Guimaraes,6.0,03.01.2025,20:15,away,4,4,D,draw,1.14,1.79,0.47,0.53,9.0,15.0,5.0,5.0,2.0,6.0,0.82,0.82,5.0,4.0,3.0,5.0,1.0,5.0,2.0,1.0,12.0,14.0,21.0,25.0,14.0,12.0,6.0,9.0,1.0,1.0,2.0,4.0,6.0,9.0,3.0,6.0,0.0,1.0,0.0,1.0,23.0,25.0,0.65,0.68,0.25,0.26,0.59,0.63,22.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Sporting CP,25,7,2,88,27,61,82,Estoril,8.0,03.03.2025,20:15,home,3,1,W,team,2.2,0.53,0.45,0.55,13.0,8.0,6.0,2.0,6.0,6.0,0.78,0.81,1.0,1.0,4.0,4.0,3.0,2.0,1.0,2.0,10.0,10.0,25.0,30.0,10.0,10.0,11.0,14.0,1.0,3.0,6.0,0.0,11.0,4.0,2.0,4.0,1.0,0.0,1.0,0.0,22.0,26.0,0.6,0.69,0.23,0.06,0.61,0.62,29.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Sporting CP,25,7,2,88,27,61,82,Gil Vicente,13.0,04.05.2025,20:30,home,2,1,W,team,0.72,0.79,0.71,0.29,16.0,1.0,3.0,1.0,9.0,2.0,0.87,0.67,3.0,3.0,7.0,0.0,6.0,0.0,1.0,3.0,11.0,13.0,37.0,14.0,13.0,11.0,16.0,13.0,0.0,1.0,2.0,1.0,6.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,30.0,6.0,0.75,0.41,0.11,0.0,0.62,0.76,11.0,46.0,0.0,0.0,1.13,0.99,0.0,0.0,0.53,0.26,1.11,0.04,45.0,53.0,0.0,1.0,0.0,0.0,0.99,1.13,-0.01,-0.87
1.0,Sporting CP,25,7,2,88,27,61,82,Casa Pia,9.0,05.10.2024,20:30,home,2,0,W,team,3.01,0.27,0.77,0.23,23.0,6.0,6.0,3.0,5.0,3.0,0.0,0.0,1.0,2.0,10.0,3.0,7.0,0.0,2.0,2.0,16.0,13.0,23.0,7.0,9.0,12.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Sporting CP,25,7,2,88,27,61,82,Moreirense,10.0,05.12.2024,20:15,away,1,2,L,opponent,1.94,0.3,0.7,0.3,16.0,8.0,2.0,4.0,6.0,4.0,0.87,0.71,1.0,3.0,8.0,2.0,6.0,2.0,2.0,1.0,17.0,15.0,21.0,14.0,15.0,17.0,3.0,6.0,2.0,1.0,3.0,0.0,10.0,4.0,6.0,4.0,1.0,1.0,0.0,1.0,31.0,10.0,0.79,0.61,0.17,0.09,0.57,0.56,18.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Sporting CP,25,7,2,88,27,61,82,FC Porto,3.0,07.02.2025,20:15,away,1,1,D,draw,0.96,1.34,0.44,0.56,13.0,17.0,3.0,2.0,3.0,6.0,0.8,0.86,5.0,3.0,6.0,6.0,4.0,9.0,1.0,2.0,16.0,14.0,13.0,14.0,14.0,16.0,8.0,9.0,1.0,2.0,2.0,1.0,9.0,14.0,4.0,3.0,0.0,1.0,0.0,0.0,15.0,35.0,0.56,0.8,0.5,0.11,0.57,0.56,32.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Sporting CP,25,7,2,88,27,61,82,Braga,4.0,07.04.2025,20:45,home,1,1,D,draw,1.26,0.64,0.48,0.52,15.0,9.0,7.0,3.0,4.0,0.0,0.83,0.84,3.0,5.0,5.0,4.0,3.0,2.0,2.0,0.0,21.0,11.0,23.0,24.0,11.0,21.0,8.0,12.0,2.0,6.0,1.0,1.0,8.0,3.0,7.0,5.0,0.0,0.0,0.0,1.0,17.0,7.0,0.63,0.65,0.27,0.21,0.35,0.67,13.0,23.0,0.0,1.0,1.4,1.3,0.0,0.0,0.35,0.41,0.41,0.43,65.0,44.0,2.0,2.0,0.0,0.0,1.3,1.4,0.3,0.4
1.0,Sporting CP,25,7,2,88,27,61,82,Casa Pia,9.0,09.03.2025,18:00,away,3,1,W,team,2.32,0.45,0.48,0.52,17.0,10.0,6.0,3.0,4.0,4.0,0.84,0.8,3.0,4.0,5.0,5.0,6.0,2.0,0.0,2.0,9.0,10.0,29.0,22.0,10.0,9.0,6.0,11.0,2.0,3.0,2.0,1.0,14.0,4.0,3.0,6.0,0.0,0.0,1.0,0.0,28.0,14.0,0.79,0.63,0.38,0.25,0.67,0.79,23.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
