Rank,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,opponent_rank,Time,team_goals,opponent_goals,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent
1.0,5,0,0,12,1,11,15,8.0,0.9999999995110024,3,0,2.73,0.51,0.49,0.51,17,10,9,2,6,0,7,4,0.86,0.83,1,3,2.57,0.15,6,4,2,4,10,5,7,5,0,0,1.0,0.0,27,11,0,0,2,2,9,18,0.54,0.51,0.67,0.77,0.25,0.15,0.74,0.29,9,21,18,9,0.5,0.5,32,43,22,20,8,5,0,3,0,1,2,6,0.15,2.57,0.15,-0.43,0.0,0.0
1.0,5,0,0,12,1,11,15,13.0,0.8801955985915914,1,0,1.88,0.08,0.69,0.31,11,5,5,1,3,0,5,5,0.83,0.6,2,4,1.86,0.21,3,2,3,2,8,0,3,5,0,0,0.0,0.0,27,4,0,0,3,1,14,6,0.46,0.38,0.68,0.52,0.06,0.09,0.68,0.11,33,20,6,14,0.89,0.74,59,57,17,31,6,18,0,0,0,0,1,4,0.21,1.86,0.21,0.86,0.0,0.0
1.0,5,0,0,12,1,11,15,7.0,0.9853300728678092,2,0,1.55,1.12,0.59,0.41,15,14,4,2,3,1,5,1,0.88,0.81,4,2,1.87,0.35,8,7,3,5,11,9,4,5,0,0,1.0,0.0,24,15,0,0,1,0,8,20,0.46,0.43,0.72,0.66,0.43,0.2,1.14,0.65,20,19,20,9,0.79,0.87,45,48,15,20,9,5,2,0,0,0,2,2,0.35,1.87,0.35,-0.13,0.0,0.0
1.0,5,0,0,12,1,11,15,9.0,0.8801955985915914,4,0,2.63,0.22,0.65,0.35,20,7,7,0,5,0,7,2,0.89,0.77,3,1,3.85,0.0,8,4,5,3,16,2,4,5,1,0,0.0,0.0,34,4,1,0,3,0,8,11,0.67,0.39,0.74,0.54,0.31,0.2,1.27,0.23,21,16,11,8,0.4,0.65,42,50,8,20,8,14,0,0,0,1,0,3,0.0,3.85,0.0,-0.15,0.0,0.0
1.0,5,0,0,12,1,11,15,2.0,0.9926650361894058,2,1,1.52,0.92,0.41,0.59,14,20,7,3,2,1,3,5,0.83,0.82,5,3,2.09,0.5,4,8,3,9,5,10,9,10,2,0,0.0,0.0,19,25,0,0,1,2,8,15,0.52,0.41,0.67,0.79,0.0,0.13,0.7,0.5,17,27,15,8,0.64,0.64,49,58,33,16,9,4,4,2,0,0,2,5,0.5,2.09,0.5,0.09,0.0,0.0
2.0,4,0,1,15,4,11,12,9.0,0.9853300728678092,2,0,2.85,0.43,0.67,0.33,27,7,12,2,6,1,9,2,0.87,0.78,1,4,3.82,0.21,9,3,6,2,20,3,7,4,2,0,0.0,0.0,47,18,2,1,1,1,13,10,0.53,0.48,0.78,0.61,0.32,0.11,1.73,0.81,23,13,11,14,0.58,0.54,43,38,19,28,4,7,0,2,0,0,2,10,0.21,3.82,0.21,1.82,0.0,0.0
2.0,4,0,1,15,4,11,12,5.0,0.9926650361894058,2,1,2.22,0.95,0.57,0.43,9,9,4,3,4,1,4,5,0.87,0.76,3,4,1.19,1.0,4,3,1,3,7,8,2,1,1,0,0.0,1.0,21,15,4,0,6,2,20,16,0.6,0.44,0.67,0.61,0.08,0.24,1.62,0.49,12,20,17,22,0.54,0.65,57,52,27,21,8,9,1,1,0,0,2,2,1.0,1.19,0.0,-0.81,0.0,0.0
2.0,4,0,1,15,4,11,12,12.0,0.9926650361894058,6,0,2.86,0.22,0.57,0.43,19,7,10,1,4,0,6,1,0.89,0.84,1,0,3.88,0.03,6,3,3,3,12,1,7,6,0,0,0.0,0.0,34,3,1,0,2,1,7,6,0.65,0.35,0.77,0.63,0.2,0.14,1.47,0.14,19,17,7,7,0.64,0.65,35,36,9,22,8,7,0,0,0,0,1,4,0.03,3.88,0.03,-2.12,0.0,1.0
2.0,4,0,1,15,4,11,12,13.0,0.8801955985915914,4,1,2.67,0.71,0.73,0.27,27,3,7,1,5,2,13,3,0.86,0.66,2,3,2.28,0.24,11,1,9,1,16,3,11,0,1,0,1.0,1.0,49,6,2,0,1,1,18,6,0.71,0.38,0.77,0.56,0.32,0.3,2.07,0.88,16,14,7,18,0.82,0.45,50,39,9,46,5,9,0,0,0,0,0,3,0.24,2.28,-0.76,-1.72,0.0,1.0
2.0,4,0,1,15,4,11,12,1.0,0.9926650361894058,1,2,0.92,1.52,0.59,0.41,20,14,3,7,1,2,5,3,0.82,0.83,3,5,0.5,2.09,8,4,9,3,10,5,10,9,0,2,0.0,0.0,25,19,0,0,2,1,15,8,0.41,0.52,0.79,0.67,0.13,0.0,0.5,0.7,27,17,8,15,0.64,0.64,58,49,16,33,4,9,2,4,0,0,5,2,2.09,0.5,0.09,0.5,0.0,0.0
3.0,4,0,1,8,4,4,12,14.0,0.9926650361894058,2,1,0.94,0.97,0.58,0.42,10,7,3,2,3,1,6,2,0.87,0.79,3,1,1.46,0.76,3,5,4,0,6,2,4,5,1,0,0.0,0.0,19,9,0,1,1,0,5,14,0.57,0.42,0.77,0.47,0.13,0.44,0.73,0.45,20,26,15,5,0.55,0.65,38,51,28,32,9,9,0,0,0,1,1,1,0.76,1.46,-0.24,-0.54,0.0,0.0
3.0,4,0,1,8,4,4,12,15.0,0.7481662588028526,3,1,1.96,1.32,0.54,0.46,15,15,8,4,3,3,7,3,0.87,0.86,1,0,2.11,0.83,5,6,2,5,10,9,5,6,0,2,1.0,0.0,29,24,1,0,2,3,13,12,0.53,0.4,0.71,0.67,0.31,0.24,1.21,0.5,21,6,12,13,0.47,0.9,46,42,17,24,9,5,0,1,0,0,3,5,0.83,2.11,-0.17,-0.89,0.0,0.0
