Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,Team_encoded,Opponent_encoded,Home_encoded,Outcome_encoded,Target_encoded,win_rate_global,win_rate_lastN,home_win_rate,away_win_rate,h2h_win_rate,win_streak,form_score,goal_diff,goal_diff_win_rate,weighted_outcome
13.0,AC Milan,5,0,3,14,11,3,15,Bayer Leverkusen,6.0,01.10.2024,20:00,away,0,1,L,opponent,1.17,3.24,0.52,0.48,17,16,5,9,4,5,0.92,0.93,3.0,2.0,7,7,5,0,0,3,18,4,4,15,8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0,2,2,0.0,0.0,0.5,0.0,0.5,0,0.0,-1,0.0,0.0
13.0,AC Milan,5,0,3,14,11,3,15,Real Madrid,11.0,05.11.2024,20:00,away,3,1,W,team,2.45,2.66,0.43,0.57,14,23,9,10,5,8,0.88,0.93,2.0,4.0,1,10,4,3,2,2,11,9,9,11,9,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,27,0,1,1,0.5,0.5,0.5,0.5,0.5,1,0.2,2,0.5,0.41000000000000003
13.0,AC Milan,5,0,3,14,11,3,15,Crvena zvezda,29.0,11.12.2024,20:00,home,2,1,W,team,2.0,0.49,0.52,0.48,20,9,10,4,6,4,0.88,0.83,3.0,3.0,6,5,4,0,1,2,11,18,18,11,3,8,4.0,1.0,14.0,3.0,6.0,6.0,1.0,1.0,31.0,14.0,0.69,0.72,0.38,0.04,15.0,18.0,0.65,0.79,29.0,10.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13,1,1,1,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,2,0.5,1,0.6666666666666666,0.6166666666666666
13.0,AC Milan,5,0,3,14,11,3,15,Feyenoord,19.0,12.02.2025,20:00,away,0,1,L,opponent,0.57,0.5,0.54,0.46,12,11,6,2,6,5,0.83,0.77,1.0,2.0,2,6,4,3,5,4,8,9,9,8,1,6,0.0,0.0,7.0,8.0,5.0,3.0,0.0,1.0,30.0,27.0,0.71,0.66,0.09,0.14,12.0,19.0,0.67,0.73,27.0,12.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16,0,2,2,0.5,0.5,1.0,0.3333333333333333,0.5,0,0.30000000000000004,-1,0.5,0.44000000000000006
13.0,AC Milan,5,0,3,14,11,3,15,Liverpool,1.0,17.09.2024,20:00,home,1,3,L,opponent,0.6,2.64,0.5,0.5,8,24,2,12,2,5,0.84,0.87,3.0,2.0,4,8,2,4,3,4,16,12,9,12,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21,1,2,2,0.4,0.4,0.5,0.3333333333333333,0.5,0,0.1,-2,0.4,0.31000000000000005
13.0,AC Milan,5,0,3,14,11,3,15,Feyenoord,19.0,18.02.2025,17:45,home,1,1,D,draw,1.71,0.71,0.56,0.44,18,6,7,1,4,3,0.88,0.81,4.0,2.0,5,5,6,0,0,1,10,11,11,10,0,6,1.0,2.0,12.0,3.0,6.0,3.0,1.0,0.0,39.0,15.0,0.81,0.69,0.29,0.33,15.0,15.0,0.69,0.5,14.0,28.0,9.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16,1,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0,0.0,0,0.3333333333333333,0.23333333333333334
13.0,AC Milan,5,0,3,14,11,3,15,Girona,33.0,22.01.2025,20:00,home,1,0,W,team,1.31,0.94,0.42,0.58,17,11,5,4,6,3,0.87,0.9,2.0,2.0,8,5,4,2,1,3,18,12,12,18,4,4,2.0,3.0,8.0,7.0,9.0,4.0,2.0,0.0,18.0,21.0,0.76,0.78,0.11,0.36,19.0,14.0,0.67,0.6,19.0,11.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17,1,1,1,0.42857142857142855,0.42857142857142855,0.5,0.3333333333333333,0.5,1,0.3,1,0.42857142857142855,0.39
13.0,AC Milan,5,0,3,14,11,3,15,Club Brugge KV,24.0,22.10.2024,17:45,home,3,1,W,team,1.22,0.57,0.62,0.38,15,9,5,5,5,3,0.95,0.87,4.0,3.0,6,3,4,1,1,1,9,7,7,9,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,0.0,0.0,0.0,0.0,6.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,1,1,1,0.5,0.5,0.6,0.3333333333333333,0.5,2,0.5,2,0.5,0.5
13.0,AC Milan,5,0,3,14,11,3,15,Slovan Bratislava,35.0,26.11.2024,17:45,away,3,2,W,team,1.88,1.51,0.66,0.34,15,6,5,3,8,4,0.88,0.73,3.0,3.0,4,2,6,1,1,0,15,12,12,15,1,2,3.0,2.0,7.0,3.0,8.0,3.0,0.0,0.0,36.0,9.0,0.78,0.56,0.07,0.25,17.0,9.0,0.42,0.63,7.0,22.0,13.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,0,1,1,0.5555555555555556,0.5555555555555556,0.6,0.5,0.5,3,0.6,1,0.5555555555555556,0.5688888888888889
13.0,AC Milan,5,0,3,14,11,3,15,D. Zagreb,25.0,29.01.2025,20:00,away,1,2,L,opponent,1.0,1.19,0.57,0.43,14,12,5,5,4,5,0.85,0.81,5.0,4.0,5,4,4,3,0,5,11,16,16,11,3,4,0.0,3.0,7.0,4.0,7.0,8.0,0.0,0.0,32.0,10.0,0.73,0.76,0.13,0.2,27.0,17.0,0.48,0.61,17.0,34.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,0,2,2,0.5,0.5,0.6,0.4,0.5,0,0.30000000000000004,-1,0.5,0.44000000000000006
