Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,Team_encoded,Opponent_encoded,Home_encoded,Outcome_encoded,Target_encoded,win_rate_global,win_rate_lastN,home_win_rate,away_win_rate,h2h_win_rate,win_streak,form_score,goal_diff,goal_diff_win_rate,weighted_outcome
14.0,Angers,10,6,18,32,53,-21,36,Nice,4.0,01.09.2024,16:00,home,1,4,L,opponent,1.47,2.56,0.54,0.46,14,14,7,9,0.0,0.0,4,7,0.0,0.0,6.0,4.0,7,4,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,13,16,0.0,0.0,0.0,0.0,17,14,14,13,0.0,0.0,0.0,0.0,0.0,0.0,5,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,1,2,2,0.0,0.0,0.0,0.5,0.5,0,0.0,-3,0.0,0.0
14.0,Angers,10,6,18,32,53,-21,36,Monaco,3.0,01.11.2024,18:00,away,1,0,W,team,0.44,1.34,0.36,0.64,10,11,3,3,0.0,0.0,4,4,0.76,0.85,1.0,1.0,3,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,16,12,0.0,0.0,0.0,0.0,25,19,12,16,0.0,0.0,0.0,0.0,17.0,10.0,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0,1,1,0.5,0.5,0.0,1.0,0.5,1,0.2,1,0.5,0.41000000000000003
14.0,Angers,10,6,18,32,53,-21,36,Le Havre,15.0,01.12.2024,16:00,away,1,0,W,team,1.84,0.18,0.44,0.56,12,5,3,1,3.0,0.0,4,2,0.85,0.89,0.0,2.0,4,3,5,1,10.0,2.0,2.0,3.0,0.0,0.0,15.0,22.0,1,0,8,10,0.67,0.76,0.27,0.18,22,15,10,8,0.57,0.67,27.0,5.0,10.0,9.0,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,1,1,0.6666666666666666,0.6666666666666666,0.0,1.0,0.5,2,0.5,1,0.6666666666666666,0.6166666666666666
14.0,Angers,10,6,18,32,53,-21,36,Le Havre,15.0,02.02.2025,16:15,home,1,1,D,draw,1.54,2.07,0.58,0.42,17,13,2,5,3.0,3.0,4,2,0.91,0.87,2.0,4.0,8,4,7,4,12.0,9.0,5.0,4.0,0.0,0.0,20.0,20.0,1,0,19,8,0.8,0.67,0.23,0.33,16,13,8,19,0.73,0.54,24.0,34.0,5.0,7.0,4,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,0,0,0.5,0.5,0.0,1.0,1.0,0,0.30000000000000004,0,0.5,0.44000000000000006
14.0,Angers,10,6,18,32,53,-21,36,Toulouse,10.0,02.03.2025,16:15,home,0,4,L,opponent,0.35,3.67,0.46,0.54,5,19,1,13,0.0,6.0,4,9,0.8,0.82,3.0,3.0,1,3,3,3,2.0,18.0,3.0,1.0,0.0,0.0,7.0,37.0,1,2,9,13,0.62,0.72,0.18,0.2,14,22,13,9,0.88,0.74,33.0,26.0,16.0,8.0,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,18,1,2,2,0.4,0.4,0.0,1.0,0.5,0,0.1,-4,0.4,0.31000000000000005
14.0,Angers,10,6,18,32,53,-21,36,Nantes,13.0,04.05.2025,14:00,away,1,0,W,team,0.98,0.14,0.42,0.58,14,8,2,3,0.0,1.0,6,4,0.83,0.85,3.0,2.0,8,3,4,2,8.0,4.0,6.0,4.0,0.0,1.0,14.0,32.0,3,1,12,16,0.67,0.68,0.24,0.27,19,20,16,12,0.63,0.68,42.0,26.0,9.0,4.0,3,1,0.0,0.0,0.0,0.0,0.43,0.61,0.0,0.0,0.4,0.47,0.38,0.43,40.0,67.0,0.0,0.0,0.0,0.0,0.61,0.43,0.61,-0.57,0,11,0,1,1,0.5,0.5,0.0,1.0,0.5,1,0.3,1,0.5,0.43999999999999995
14.0,Angers,10,6,18,32,53,-21,36,Marseille,2.0,04.10.2024,19:45,away,1,1,D,draw,0.51,1.23,0.24,0.76,10,16,3,4,0.0,0.0,3,9,0.0,0.0,0.0,4.0,5,8,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,17,10,0.0,0.0,0.0,0.0,10,16,9,15,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0,0,0,0.42857142857142855,0.42857142857142855,0.0,0.75,0.5,0,0.2,0,0.42857142857142855,0.36
14.0,Angers,10,6,18,32,53,-21,36,Brest,9.0,05.01.2025,14:00,home,2,0,W,team,1.56,0.87,0.38,0.62,7,12,2,4,3.0,0.0,2,4,0.77,0.86,2.0,1.0,4,6,1,2,7.0,9.0,0.0,3.0,0.0,0.0,23.0,24.0,1,1,11,14,0.72,0.76,0.39,0.23,20,20,14,11,0.4,0.58,29.0,13.0,11.0,2.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,1,1,0.5,0.5,0.25,0.75,0.5,1,0.4,2,0.5,0.47
14.0,Angers,10,6,18,32,53,-21,36,PSG,1.0,05.04.2025,16:00,away,0,1,L,opponent,0.21,1.6,0.19,0.81,5,20,0,6,0.0,2.0,1,5,0.74,0.94,3.0,0.0,2,7,3,7,3.0,14.0,2.0,6.0,0.0,0.0,12.0,49.0,4,1,7,12,0.53,0.86,0.75,0.24,5,18,12,7,0.63,0.52,23.0,9.0,3.0,2.0,5,0,0.0,0.0,0.0,0.0,0.0,2.09,2.0,0.0,0.47,0.78,0.61,2.22,43.0,51.0,0.0,0.0,0.0,0.0,2.09,0.0,1.09,0.0,0,13,0,2,2,0.4444444444444444,0.4444444444444444,0.25,0.6,0.5,0,0.2,-1,0.4444444444444444,0.3711111111111111
14.0,Angers,10,6,18,32,53,-21,36,Lyon,6.0,07.12.2024,20:00,home,0,3,L,opponent,0.51,1.31,0.36,0.64,10,16,2,10,0.0,3.0,2,7,0.81,0.88,0.0,2.0,6,1,2,5,5.0,11.0,5.0,5.0,1.0,0.0,15.0,37.0,4,1,13,13,0.72,0.78,0.33,0.26,23,20,13,13,0.57,0.6,30.0,11.0,10.0,12.0,7,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,1,2,2,0.4,0.4,0.2,0.6,0.5,0,0.1,-3,0.4,0.31000000000000005
