Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,Team_encoded,Opponent_encoded,Home_encoded,Outcome_encoded,Target_encoded,win_rate_global,win_rate_lastN,home_win_rate,away_win_rate,h2h_win_rate,win_streak,form_score,goal_diff,goal_diff_win_rate,weighted_outcome
4.0,Anderlecht,15,6,9,50,27,23,51,Antwerp,5.0,01.05.2025,12:30,away,3,1,W,team,1.04,0.73,0.41,0.59,8,12,5,3,2.0,2.0,2,9,0.82,0.86,0.0,2.0,0.0,1.0,2,5,1.0,4.0,7.0,5.0,1.0,7.0,0.0,0.0,20.0,22.0,2,3,14.0,12.0,0.69,0.64,0.33,0.33,21,16,12,14,0.79,0.5,33.0,15.0,7.0,6.0,2,2,1.86,1.07,1.0,0.0,0.0,1.0,0.43,0.44,0.89,1.09,55.0,44.0,0.0,0.0,1.0,0.0,1.07,1.86,-0.1,-1.14,0,1,0,1,1,1.0,1.0,0.5,1.0,0.5,1,0.1,2,1.0,0.73
4.0,Anderlecht,15,6,9,50,27,23,51,Royale Union SG,3.0,01.09.2024,17:30,away,0,0,D,draw,0.0,0.0,0.53,0.47,10,22,5,6,0.0,0.0,4,8,0.0,0.0,4.0,3.0,0.0,0.0,5,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,30,27,13,10,0.0,0.0,0.0,0.0,0.0,0.0,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.1,0,0.5,0.38
4.0,Anderlecht,15,6,9,50,27,23,51,Leuven,11.0,01.12.2024,15:00,away,0,0,D,draw,0.29,0.64,0.57,0.43,11,17,5,2,1.0,0.0,7,2,0.79,0.77,1.0,2.0,0.0,0.0,3,7,3.0,8.0,4.0,8.0,7.0,9.0,0.0,0.0,22.0,20.0,4,0,19.0,14.0,0.7,0.66,0.22,0.13,21,19,14,19,0.53,0.47,15.0,28.0,11.0,15.0,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,0,0,0,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.5,0,0.1,0,0.3333333333333333,0.2633333333333333
4.0,Anderlecht,15,6,9,50,27,23,51,Gent,6.0,02.02.2025,17:30,away,0,1,L,opponent,0.55,0.94,0.54,0.46,12,12,4,3,0.0,1.0,6,9,0.84,0.82,4.0,4.0,1.0,1.0,2,7,6.0,2.0,5.0,10.0,7.0,2.0,2.0,0.0,21.0,23.0,0,2,14.0,4.0,0.77,0.62,0.26,0.3,14,19,4,14,0.65,0.65,25.0,27.0,8.0,6.0,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,0,2,2,0.25,0.25,0.5,0.25,0.5,0,0.0,-1,0.25,0.175
4.0,Anderlecht,15,6,9,50,27,23,51,St. Liege,7.0,02.03.2025,17:30,away,2,0,W,team,0.45,0.69,0.54,0.46,7,11,3,4,1.0,1.0,4,3,0.8,0.73,3.0,0.0,0.0,0.0,3,2,1.0,5.0,4.0,7.0,3.0,4.0,0.0,0.0,21.0,21.0,0,1,11.0,16.0,0.69,0.65,0.2,0.25,27,21,16,11,0.65,0.81,25.0,22.0,9.0,18.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,0,1,1,0.4,0.4,0.5,0.4,0.5,1,0.3,2,0.4,0.37000000000000005
4.0,Anderlecht,15,6,9,50,27,23,51,Kortrijk,15.0,03.11.2024,17:30,home,4,0,W,team,2.27,0.41,0.7,0.3,22,2,6,1,0.0,0.0,9,2,0.9,0.76,0.0,0.0,0.0,0.0,8,1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,11.0,8.0,0.0,0.0,0.0,0.0,19,9,8,11,0.0,0.0,0.0,0.0,8.0,16.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,1,1,1,0.5,0.4,1.0,0.4,0.5,2,0.5,4,0.4,0.43
4.0,Anderlecht,15,6,9,50,27,23,51,Antwerp,5.0,04.08.2024,12:30,away,2,1,W,team,0.0,0.0,0.58,0.42,10,17,4,7,0.0,0.0,2,7,0.0,0.0,0.0,2.0,0.0,0.0,6,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,17,16,11,17,0.0,0.0,0.0,0.0,0.0,0.0,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,0.5714285714285714,0.6,1.0,0.5,1.0,3,0.6,1,0.6,0.6
4.0,Anderlecht,15,6,9,50,27,23,51,Genk,1.0,06.04.2025,17:30,home,1,2,L,opponent,0.75,1.22,0.47,0.53,10,13,4,5,0.0,2.0,4,3,0.83,0.88,2.0,2.0,0.0,0.0,2,6,4.0,2.0,7.0,10.0,3.0,3.0,0.0,0.0,27.0,21.0,2,2,11.0,11.0,0.66,0.77,0.29,0.31,17,19,11,11,0.6,0.68,12.0,30.0,13.0,9.0,3,3,0.79,1.02,1.0,0.0,0.0,0.0,0.47,0.56,0.89,0.54,42.0,57.0,0.0,1.0,1.0,0.0,1.02,0.79,-0.98,-0.21,0,7,1,2,2,0.5,0.6,0.5,0.5,0.5,0,0.30000000000000004,-1,0.6,0.51
4.0,Anderlecht,15,6,9,50,27,23,51,St. Liege,7.0,06.10.2024,12:30,home,3,0,W,team,0.88,1.49,0.54,0.46,10,18,7,4,0.0,0.0,4,7,0.85,0.81,2.0,1.0,0.0,0.0,2,8,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,11.0,9.0,0.0,0.0,0.0,0.0,10,18,9,11,0.0,0.0,0.0,0.0,7.0,11.0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,1,1,1,0.5555555555555556,0.8,0.6666666666666666,0.5,1.0,1,0.4,3,0.8,0.68
4.0,Anderlecht,15,6,9,50,27,23,51,Beerschot VA,16.0,08.12.2024,17:30,home,2,1,W,team,1.3,0.66,0.67,0.33,20,10,6,5,3.0,2.0,7,2,0.86,0.77,1.0,7.0,0.0,0.0,7,2,7.0,3.0,14.0,6.0,6.0,4.0,0.0,0.0,35.0,16.0,2,2,17.0,5.0,0.76,0.66,0.24,0.0,27,16,5,17,0.7,0.78,7.0,38.0,3.0,7.0,4,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,1,1,0.6,0.8,0.75,0.5,0.5,2,0.5,1,0.8,0.7100000000000001
