Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,Team_encoded,Opponent_encoded,Home_encoded,Outcome_encoded,Target_encoded,win_rate_global,win_rate_lastN,home_win_rate,away_win_rate,h2h_win_rate,win_streak,form_score,goal_diff,goal_diff_win_rate,weighted_outcome
4.0,Anderlecht,3,1,2,12,8,4,10,Cercle Brugge KSV,9.0,03.08.2025,15:00,away,2,0,W,team,1.57,0.65,0.47,0.53,9,12,5,2,3,0,3,5,0.74,0.81,2.0,2.0,2.52,0.09,3,5,1,5,6,7,3,5,0,0,0.0,0.0,27,19,1,1,2,2,7,21,0.38,0.38,0.61,0.62,0.22,0.32,1.79,1.0,30,26,21,7,0.76,0.56,43,54,25,28,7,11,0,0,0,0,2,3,0.09,2.52,0.09,0.52,0.0,0.0,0,2,0,1,1,1.0,1.0,0.5,1.0,0.5,1,0.1,2,1.0,0.73
4.0,Anderlecht,3,1,2,12,8,4,10,Waregem,13.0,10.08.2025,15:00,home,2,3,L,opponent,2.55,1.79,0.7,0.3,20,9,7,6,2,3,6,5,0.88,0.7,0.0,3.0,2.5,2.53,9,0,4,3,10,8,10,1,0,0,0.0,1.0,34,18,0,1,0,2,10,10,0.61,0.43,0.84,0.46,0.25,0.33,1.73,0.41,25,27,11,11,0.59,0.67,50,61,13,31,6,3,0,0,0,0,3,5,2.53,2.5,-0.47,1.5,0.0,0.0,0,14,1,2,2,0.5,0.5,0.0,1.0,0.5,0,0.1,-1,0.5,0.38
4.0,Anderlecht,3,1,2,12,8,4,10,Genk,10.0,14.09.2025,17:30,home,1,1,D,draw,0.91,1.33,0.3,0.7,9,18,3,3,2,2,3,7,0.76,0.92,2.0,3.0,0.73,0.94,4,9,2,6,6,10,3,8,0,2,1.0,0.0,15,41,0,1,3,3,7,16,0.42,0.57,0.7,0.89,0.33,0.25,0.45,1.83,11,14,16,7,0.47,0.33,44,42,31,12,7,5,0,0,0,0,2,2,0.94,0.73,-0.06,-0.27,1.0,0.0,0,6,1,0,0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.5,0,0.1,0,0.3333333333333333,0.2633333333333333
4.0,Anderlecht,3,1,2,12,8,4,10,Dender,16.0,17.08.2025,12:30,away,2,0,W,team,2.1,0.83,0.59,0.41,17,8,5,4,3,1,7,2,0.84,0.78,1.0,1.0,1.8,1.17,11,3,1,1,9,5,8,3,2,1,0.0,0.0,29,9,1,0,0,2,7,12,0.53,0.52,0.75,0.58,0.22,0.21,1.77,0.34,25,22,12,7,0.64,0.75,43,56,28,26,10,12,0,0,0,0,4,3,1.17,1.8,1.17,-0.2,0.0,0.0,0,5,0,1,1,0.5,0.5,0.0,1.0,0.5,1,0.3,2,0.5,0.43999999999999995
4.0,Anderlecht,3,1,2,12,8,4,10,Westerlo,6.0,27.07.2025,12:30,home,5,2,W,team,2.58,0.81,0.48,0.52,25,10,10,4,4,2,8,3,0.83,0.8,4.0,2.0,5.02,1.35,7,2,8,4,18,8,7,2,1,1,1.0,0.0,55,20,0,0,5,0,14,14,0.65,0.4,0.78,0.61,0.32,0.29,2.31,0.59,13,14,14,14,0.72,0.42,52,52,21,26,12,7,0,0,1,2,2,5,1.35,5.02,-0.65,0.02,0.0,0.0,0,15,1,1,1,0.6,0.6,0.3333333333333333,1.0,0.5,2,0.5,3,0.6,0.57
4.0,Anderlecht,3,1,2,12,8,4,10,Royale Union SG,1.0,31.08.2025,17:30,away,0,2,L,opponent,0.77,2.25,0.51,0.49,9,16,4,5,2,3,5,5,0.78,0.81,6.0,1.0,0.24,2.63,3,7,2,4,5,12,4,4,1,2,0.0,0.0,29,28,0,0,3,0,7,17,0.48,0.54,0.7,0.61,0.13,0.45,0.91,0.56,17,16,17,7,0.71,0.55,42,57,22,30,7,9,0,0,1,0,3,4,2.63,0.24,0.63,0.24,2.0,0.0,0,11,0,2,2,0.5,0.4,0.3333333333333333,0.6666666666666666,0.5,0,0.30000000000000004,-2,0.4,0.37000000000000005
8.0,Antwerp,2,3,2,9,9,0,9,Genk,10.0,03.08.2025,12:30,away,1,1,D,draw,0.5,1.1,0.27,0.73,6,15,5,3,1,1,2,4,0.74,0.91,2.0,0.0,1.52,1.13,0,9,1,3,4,10,2,5,0,1,0.0,0.0,14,21,0,0,1,0,11,10,0.29,0.63,0.56,0.79,0.17,0.11,0.36,1.03,14,23,10,11,0.64,0.56,40,38,40,19,6,2,0,0,0,0,2,4,1.13,1.52,0.13,0.52,0.0,0.0,1,6,0,0,0,0.0,0.0,0.5,0.0,0.5,0,0.0,0,0.0,0.0
8.0,Antwerp,2,3,2,9,9,0,9,Leuven,15.0,10.08.2025,18:15,home,3,1,W,team,1.97,0.23,0.62,0.38,12,5,4,1,2,0,5,3,0.87,0.77,3.0,5.0,2.48,0.44,3,0,5,4,5,5,7,0,0,0,0.0,1.0,18,13,0,0,5,2,19,8,0.47,0.3,0.72,0.61,0.13,0.11,0.38,0.37,23,20,8,21,0.7,0.71,56,38,26,24,11,6,0,1,0,0,0,1,0.44,2.48,-0.56,-0.52,0.0,1.0,1,9,1,1,1,0.5,0.5,1.0,0.0,0.5,1,0.2,2,0.5,0.41000000000000003
8.0,Antwerp,2,3,2,9,9,0,9,Gent,11.0,14.09.2025,12:30,home,1,2,L,opponent,1.16,1.53,0.61,0.39,22,9,7,6,3,4,5,1,0.85,0.75,4.0,2.0,1.15,1.62,6,2,9,1,11,8,11,1,0,0,0.0,0.0,29,17,3,0,3,2,12,8,0.46,0.47,0.72,0.63,0.31,0.33,1.77,0.57,14,17,8,12,0.54,0.58,48,40,11,38,6,7,0,0,0,0,4,6,1.62,1.15,-0.38,0.15,0.0,1.0,1,7,1,2,2,0.3333333333333333,0.3333333333333333,0.5,0.0,0.5,0,0.2,-1,0.3333333333333333,0.29333333333333333
8.0,Antwerp,2,3,2,9,9,0,9,Charleroi,7.0,17.08.2025,17:30,away,1,1,D,draw,0.74,0.81,0.48,0.52,10,13,5,4,1,0,1,4,0.81,0.79,3.0,3.0,0.99,0.99,3,4,2,5,5,7,5,6,0,0,0.0,0.0,11,31,0,0,3,1,18,17,0.45,0.35,0.65,0.75,0.06,0.35,0.3,1.12,19,16,17,18,0.6,0.83,52,51,41,25,6,3,0,0,0,1,3,4,0.99,0.99,-0.01,-0.01,0.0,0.0,1,3,0,0,0,0.25,0.25,0.5,0.0,0.5,0,0.1,0,0.25,0.20500000000000002
