Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,Team_encoded,Opponent_encoded,Home_encoded,Outcome_encoded,Target_encoded,win_rate_global,win_rate_lastN,home_win_rate,away_win_rate,h2h_win_rate,win_streak,form_score,goal_diff,goal_diff_win_rate,weighted_outcome
15.0,Alaves,10,12,16,38,48,-10,42,Las Palmas,19.0,01.09.2024,16:00,home,2,0,W,team,2.05,0.94,0.29,0.71,15,12,5,7,0.0,0.0,6,5,0.0,0.0,3.0,0.0,6,4,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,9,16,0.0,0.0,0.0,0.0,20,22,13,9,0.0,0.0,0.0,0.0,0.0,0.0,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,1,1,1,1.0,1.0,1.0,0.5,0.5,1,0.1,2,1.0,0.73
15.0,Alaves,10,12,16,38,48,-10,42,Mallorca,10.0,01.11.2024,20:00,home,1,0,W,team,1.15,0.51,0.52,0.48,13,7,3,2,0.0,0.0,7,2,0.7,0.74,3.0,2.0,4,3,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,12,19,0.0,0.0,0.0,0.0,23,28,19,12,0.0,0.0,0.0,0.0,8.0,13.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,1,1,1,1.0,1.0,1.0,0.5,0.5,2,0.30000000000000004,1,1.0,0.79
15.0,Alaves,10,12,16,38,48,-10,42,Barcelona,1.0,02.02.2025,13:00,away,0,1,L,opponent,0.09,0.95,0.29,0.71,3,11,0,4,0.0,2.0,2,5,0.72,0.89,2.0,5.0,1,3,2,4,2.0,7.0,1.0,4.0,0.0,0.0,7.0,19.0,11,2,8,20,0.63,0.73,0.13,0.19,27,26,20,8,0.76,0.82,24.0,16.0,10.0,3.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,2,2,0.6666666666666666,0.6666666666666666,1.0,0.0,0.5,0,0.30000000000000004,-1,0.6666666666666666,0.5566666666666666
15.0,Alaves,10,12,16,38,48,-10,42,Mallorca,10.0,02.03.2025,17:30,away,1,1,D,draw,1.71,1.33,0.56,0.44,19,15,7,4,1.0,3.0,9,3,0.77,0.78,2.0,0.0,6,9,6,2,13.0,10.0,6.0,5.0,0.0,0.0,21.0,17.0,1,0,20,14,0.68,0.64,0.3,0.33,33,20,14,20,0.61,0.61,30.0,51.0,9.0,7.0,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,0,0,0,0.5,0.5,1.0,0.0,1.0,0,0.1,0,0.5,0.38
15.0,Alaves,10,12,16,38,48,-10,42,Atl. Madrid,3.0,03.05.2025,13:00,home,0,0,D,draw,0.7,0.54,0.35,0.65,8,9,2,2,2.0,0.0,3,5,0.68,0.83,3.0,2.0,4,4,2,3,8.0,6.0,0.0,3.0,0.0,0.0,14.0,22.0,1,0,13,18,0.54,0.67,0.25,0.23,28,26,18,13,0.46,0.67,34.0,36.0,8.0,1.0,2,2,0.0,0.0,0.0,0.0,0.37,0.78,0.0,0.0,0.32,0.56,0.52,0.59,51.0,81.0,0.0,1.0,0.0,0.0,0.78,0.37,0.78,0.37,0,2,1,0,0,0.4,0.4,0.6666666666666666,0.0,0.5,0,0.0,0,0.4,0.28
15.0,Alaves,10,12,16,38,48,-10,42,Girona,16.0,05.04.2025,13:00,away,1,0,W,team,0.72,1.31,0.36,0.64,9,16,4,1,2.0,2.0,3,5,0.78,0.89,5.0,1.0,5,10,0,5,6.0,13.0,3.0,3.0,0.0,0.0,14.0,23.0,1,0,8,25,0.67,0.74,0.27,0.21,13,26,25,8,0.7,0.7,40.0,14.0,4.0,4.0,1,3,0.0,0.0,0.0,0.0,1.08,0.47,0.0,0.0,0.39,0.68,0.37,1.46,43.0,66.0,0.0,0.0,0.0,0.0,0.47,1.08,0.47,0.08,0,8,0,1,1,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,1,0.3,1,0.5,0.43999999999999995
15.0,Alaves,10,12,16,38,48,-10,42,Barcelona,1.0,06.10.2024,15:15,home,0,3,L,opponent,0.83,1.65,0.27,0.73,11,15,2,9,0.0,0.0,11,3,0.0,0.0,2.0,2.0,5,4,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,3,13,27,0.0,0.0,0.0,0.0,21,19,13,8,0.0,0.0,0.0,0.0,0.0,0.0,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,2,2,0.42857142857142855,0.42857142857142855,0.5,0.3333333333333333,0.0,0,0.2,-3,0.42857142857142855,0.36
15.0,Alaves,10,12,16,38,48,-10,42,Villarreal,5.0,08.03.2025,15:15,home,1,0,W,team,1.08,2.64,0.31,0.69,5,24,3,2,2.0,4.0,1,6,0.68,0.87,4.0,1.0,1,15,1,7,3.0,13.0,2.0,11.0,0.0,0.0,14.0,34.0,0,0,13,11,0.51,0.83,0.19,0.28,24,29,11,13,0.58,0.57,32.0,20.0,6.0,6.0,2,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19,1,1,1,0.5,0.5,0.6,0.3333333333333333,0.5,1,0.4,1,0.5,0.47
15.0,Alaves,10,12,16,38,48,-10,42,Osasuna,9.0,08.12.2024,17:30,away,2,2,D,draw,1.54,1.85,0.4,0.6,6,16,3,8,3.0,3.0,3,8,0.74,0.83,3.0,4.0,2,5,1,3,4.0,11.0,2.0,5.0,0.0,0.0,6.0,29.0,3,4,13,14,0.53,0.69,0.25,0.22,21,32,14,13,0.74,0.75,35.0,11.0,9.0,4.0,6,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,0,0,0,0.4444444444444444,0.4444444444444444,0.6,0.25,0.5,0,0.2,0,0.4444444444444444,0.3711111111111111
15.0,Alaves,10,12,16,38,48,-10,42,Getafe,13.0,09.02.2025,13:00,home,0,1,L,opponent,1.53,0.88,0.66,0.34,12,4,4,3,1.0,1.0,8,3,0.73,0.51,2.0,6.0,6,1,2,0,12.0,3.0,0.0,1.0,1.0,0.0,36.0,11.0,3,2,16,16,0.52,0.33,0.28,0.28,29,22,16,16,0.43,0.7,35.0,64.0,6.0,5.0,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,1,2,2,0.4,0.4,0.5,0.25,0.5,0,0.1,-1,0.4,0.31000000000000005
15.0,Alaves,10,12,16,38,48,-10,42,Villarreal,5.0,09.11.2024,15:15,away,0,3,L,opponent,0.45,1.45,0.37,0.63,9,13,3,3,0.0,0.0,2,7,0.73,0.84,3.0,1.0,3,5,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,17,21,0.0,0.0,0.0,0.0,13,20,21,17,0.0,0.0,0.0,0.0,11.0,4.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19,0,2,2,0.36363636363636365,0.3,0.5,0.2,1.0,0,0.0,-3,0.3,0.21
15.0,Alaves,10,12,16,38,48,-10,42,Girona,16.0,11.01.2025,13:00,home,0,1,L,opponent,1.68,0.56,0.43,0.57,11,3,2,1,2.0,1.0,6,3,0.79,0.86,1.0,4.0,7,2,2,0,5.0,2.0,6.0,1.0,0.0,0.0,16.0,18.0,1,1,11,16,0.67,0.74,0.19,0.06,16,20,16,11,0.75,0.53,24.0,28.0,11.0,10.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,1,2,2,0.3333333333333333,0.2,0.42857142857142855,0.2,1.0,0,0.0,-1,0.2,0.14
15.0,Alaves,10,12,16,38,48,-10,42,Ath Bilbao,4.0,11.05.2025,17:30,away,0,1,L,opponent,0.78,1.19,0.4,0.6,4,11,1,3,1.0,3.0,2,9,0.61,0.82,1.0,1.0,2,7,1,1,3.0,7.0,0.0,4.0,0.0,1.0,11.0,15.0,2,0,17,12,0.36,0.71,0.14,0.14,27,22,12,17,0.58,0.47,31.0,44.0,6.0,15.0,2,1,0.0,0.0,0.0,0.0,0.67,0.79,1.0,0.0,0.24,0.55,0.16,0.66,64.0,67.0,0.0,0.0,0.0,0.0,0.79,0.67,0.79,0.67,0,1,0,2,2,0.3076923076923077,0.2,0.42857142857142855,0.16666666666666666,0.5,0,0.0,-1,0.2,0.14
15.0,Alaves,10,12,16,38,48,-10,42,Real Madrid,2.0,13.04.2025,15:15,home,0,1,L,opponent,0.68,0.68,0.56,0.44,13,11,6,4,0.0,2.0,4,4,0.89,0.85,4.0,4.0,5,2,2,5,8.0,7.0,5.0,4.0,0.0,0.0,18.0,20.0,1,0,12,21,0.8,0.7,0.23,0.43,19,12,21,12,0.57,0.56,15.0,24.0,7.0,8.0,3,6,1.0,1.0,0.0,0.0,0.85,0.91,0.0,1.0,0.65,0.52,0.73,0.72,47.0,61.0,1.0,0.0,0.0,0.0,0.91,0.85,-0.09,0.85,0,14,1,2,2,0.2857142857142857,0.2,0.375,0.16666666666666666,0.5,0,0.0,-1,0.2,0.14
15.0,Alaves,10,12,16,38,48,-10,42,Las Palmas,19.0,14.03.2025,20:00,away,2,2,D,draw,1.49,1.85,0.39,0.61,9,14,3,7,2.0,3.0,5,4,0.68,0.8,5.0,5.0,5,5,1,2,5.0,11.0,4.0,3.0,1.0,0.0,12.0,29.0,3,1,10,22,0.57,0.67,0.25,0.16,18,34,22,10,0.54,0.5,46.0,21.0,8.0,6.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0,0,0,0.26666666666666666,0.2,0.375,0.14285714285714285,1.0,0,0.0,0,0.2,0.14
