Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,Team_encoded,Opponent_encoded,Home_encoded,Outcome_encoded,Target_encoded,win_rate_global,win_rate_lastN,home_win_rate,away_win_rate,h2h_win_rate,win_streak,form_score,goal_diff,goal_diff_win_rate,weighted_outcome
16.0,AFS,5,12,17,25,60,-35,27,Vitoria Guimaraes,6.0,01.02.2025,20:30,away,0,2,L,opponent,0.21,1.27,0.27,0.73,4.0,14.0,1.0,8.0,2.0,8.0,0.65,0.87,5.0,1.0,2.0,5.0,1.0,1.0,1.0,2.0,14.0,20.0,21.0,24.0,20.0,14.0,10.0,7.0,6.0,1.0,0.0,1.0,2.0,6.0,2.0,7.0,0.0,1.0,0.0,0.0,4.0,21.0,0.36,0.79,0.25,0.14,0.86,0.58,42.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17,0,2,2,0.0,0.0,0.5,0.0,0.5,0,0.0,-2,0.0,0.0
16.0,AFS,5,12,17,25,60,-35,27,Vizela,0.0,01.06.2025,19:45,away,2,2,D,draw,1.78,2.02,0.26,0.74,10.0,20.0,5.0,5.0,3.0,11.0,0.65,0.89,4.0,2.0,1.0,7.0,4.0,8.0,0.0,2.0,12.0,13.0,14.0,18.0,13.0,12.0,4.0,1.0,3.0,3.0,3.0,5.0,8.0,16.0,2.0,4.0,0.0,0.0,0.0,0.0,17.0,32.0,0.59,0.77,0.5,0.24,0.62,0.5,44.0,12.0,0.0,0.0,1.66,2.24,3.0,1.0,0.41,0.7,1.28,1.47,44.0,51.0,0.0,0.0,0.0,1.0,2.24,1.66,1.24,-0.34,0,18,0,0,0,0.0,0.0,0.5,0.0,0.5,0,0.0,0,0.0,0.0
16.0,AFS,5,12,17,25,60,-35,27,Braga,4.0,01.12.2024,20:30,home,0,1,L,opponent,0.89,3.55,0.31,0.69,6.0,20.0,1.0,8.0,2.0,9.0,0.71,0.86,3.0,1.0,3.0,4.0,2.0,8.0,3.0,2.0,16.0,12.0,14.0,22.0,12.0,16.0,7.0,6.0,7.0,1.0,3.0,5.0,4.0,15.0,2.0,5.0,1.0,0.0,0.0,0.0,6.0,30.0,0.41,0.69,0.3,0.2,0.69,0.42,31.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,1,2,2,0.0,0.0,0.0,0.0,0.5,0,0.0,-1,0.0,0.0
16.0,AFS,5,12,17,25,60,-35,27,SC Farense,17.0,02.03.2025,18:00,away,1,0,W,team,1.09,1.07,0.56,0.44,6.0,17.0,3.0,4.0,1.0,6.0,0.77,0.71,2.0,2.0,2.0,9.0,1.0,4.0,0.0,0.0,24.0,12.0,38.0,33.0,12.0,24.0,10.0,13.0,4.0,2.0,2.0,3.0,5.0,9.0,1.0,8.0,0.0,0.0,0.0,0.0,12.0,22.0,0.59,0.63,0.27,0.36,0.76,0.73,44.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,0,1,1,0.25,0.25,0.0,0.3333333333333333,0.5,1,0.3,1,0.25,0.265
16.0,AFS,5,12,17,25,60,-35,27,Famalicao,7.0,03.11.2024,15:30,home,2,3,L,opponent,1.6,1.9,0.46,0.54,13.0,18.0,6.0,6.0,4.0,0.0,0.79,0.82,4.0,1.0,6.0,10.0,1.0,2.0,0.0,3.0,11.0,18.0,24.0,26.0,18.0,11.0,8.0,8.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,1,2,2,0.2,0.2,0.0,0.3333333333333333,0.5,0,0.2,-1,0.2,0.2
16.0,AFS,5,12,17,25,60,-35,27,Moreirense,10.0,04.01.2025,15:30,away,1,1,D,draw,1.02,1.34,0.46,0.54,17.0,11.0,2.0,5.0,9.0,3.0,0.76,0.84,5.0,3.0,7.0,3.0,8.0,3.0,0.0,3.0,13.0,18.0,27.0,16.0,18.0,13.0,6.0,7.0,4.0,1.0,1.0,4.0,9.0,6.0,8.0,5.0,0.0,0.0,1.0,0.0,24.0,16.0,0.65,0.7,0.21,0.2,0.64,0.45,21.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,0,0,0,0.16666666666666666,0.2,0.0,0.25,0.5,0,0.1,0,0.2,0.17
16.0,AFS,5,12,17,25,60,-35,27,Estoril,8.0,04.04.2025,20:15,home,0,3,L,opponent,0.55,2.42,0.45,0.55,9.0,14.0,2.0,8.0,4.0,3.0,0.76,0.8,3.0,1.0,5.0,4.0,2.0,2.0,5.0,1.0,18.0,13.0,25.0,25.0,13.0,18.0,13.0,14.0,5.0,2.0,0.0,3.0,6.0,11.0,3.0,3.0,2.0,0.0,0.0,0.0,8.0,28.0,0.5,0.65,0.2,0.55,0.64,0.8,24.0,21.0,0.0,0.0,0.54,3.98,0.0,1.0,0.26,0.48,0.36,2.1,46.0,49.0,0.0,0.0,1.0,0.0,3.98,0.54,0.98,0.54,0,6,1,2,2,0.14285714285714285,0.2,0.0,0.25,0.5,0,0.0,-3,0.2,0.14
16.0,AFS,5,12,17,25,60,-35,27,Boavista,18.0,05.05.2025,20:15,home,1,2,L,opponent,1.22,0.82,0.45,0.55,13.0,14.0,5.0,3.0,4.0,5.0,0.77,0.78,4.0,2.0,6.0,4.0,2.0,7.0,2.0,1.0,12.0,21.0,22.0,19.0,21.0,12.0,10.0,3.0,1.0,4.0,4.0,1.0,10.0,8.0,3.0,5.0,0.0,1.0,1.0,0.0,20.0,20.0,0.67,0.59,0.28,0.29,0.8,0.45,40.0,24.0,0.0,0.0,1.39,0.71,0.0,1.0,0.38,0.45,1.02,1.08,44.0,51.0,0.0,0.0,0.0,0.0,0.71,1.39,-1.29,0.39,0,3,1,2,2,0.125,0.2,0.0,0.25,0.5,0,0.0,-1,0.2,0.14
16.0,AFS,5,12,17,25,60,-35,27,Arouca,12.0,05.10.2024,18:00,away,1,1,D,draw,1.77,1.23,0.41,0.59,16.0,10.0,2.0,2.0,7.0,5.0,0.0,0.0,2.0,3.0,12.0,8.0,2.0,0.0,2.0,2.0,10.0,18.0,28.0,31.0,12.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0.1111111111111111,0.0,0.0,0.2,0.5,0,0.0,0,0.0,0.0
16.0,AFS,5,12,17,25,60,-35,27,Santa Clara,5.0,08.02.2025,15:30,home,1,2,L,opponent,0.75,1.29,0.63,0.37,9.0,8.0,3.0,4.0,2.0,3.0,0.83,0.77,2.0,1.0,5.0,2.0,1.0,2.0,0.0,3.0,15.0,11.0,32.0,19.0,11.0,15.0,7.0,15.0,2.0,2.0,1.0,2.0,4.0,4.0,5.0,4.0,0.0,1.0,0.0,0.0,13.0,14.0,0.73,0.59,0.11,0.08,0.54,0.52,17.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,1,2,2,0.1,0.0,0.0,0.2,0.5,0,0.0,-1,0.0,0.0
