Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,Team_encoded,Opponent_encoded,Home_encoded,Outcome_encoded,Target_encoded,win_rate_global,win_rate_lastN,home_win_rate,away_win_rate,h2h_win_rate,win_streak,form_score,goal_diff,goal_diff_win_rate,weighted_outcome
4.0,AZ Alkmaar,3,1,0,9,4,5,10,Groningen,7.0,10.08.2025,13:30,home,4,1,W,team,1.56,1.49,0.51,0.49,10,12,5,8,3,4,6,1,0.77,0.8,2.0,2.0,1.83,1.54,3,3,2,1,8,7,2,4,0,1,29,13,0,1,1,0,12,10,0.49,0.38,0.62,0.67,0.4,0.29,1.21,1.14,18,18,11,12,0.58,0.57,56,41,24,13,10,14,1,1,1,0,7,2,1.54,1.83,0.54,-1.17,0.0,0.0,0.0,1.0,0,6,1,1,1,1.0,1.0,1.0,0.5,0.5,1,0.1,3,1.0,0.73
4.0,AZ Alkmaar,3,1,0,9,4,5,10,Heracles,18.0,14.09.2025,13:30,away,2,1,W,team,2.6,1.36,0.48,0.52,25,19,8,6,5,1,9,6,0.85,0.83,5.0,1.0,1.99,1.51,9,10,8,3,13,8,12,11,0,1,25,18,0,0,1,0,11,11,0.51,0.41,0.8,0.7,0.28,0.17,1.21,0.59,10,16,11,11,0.58,0.53,53,55,41,15,4,4,1,0,0,0,5,6,1.51,1.99,0.51,-0.01,0.0,0.0,0.0,1.0,0,8,0,1,1,1.0,1.0,1.0,1.0,0.5,2,0.30000000000000004,1,1.0,0.79
4.0,AZ Alkmaar,3,1,0,9,4,5,10,FC Volendam,12.0,17.08.2025,15:45,away,2,2,D,draw,1.4,0.45,0.66,0.34,19,8,3,3,3,2,4,3,0.9,0.77,3.0,1.0,1.73,0.57,7,3,9,2,11,6,8,2,0,0,45,17,0,0,0,2,10,10,0.67,0.46,0.81,0.63,0.32,0.15,2.09,0.4,13,11,10,10,0.55,0.43,43,36,20,23,6,12,0,0,2,1,1,1,0.57,1.73,-1.43,-0.27,0.0,0.0,1.0,1.0,0,3,0,0,0,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,0,0.30000000000000004,0,0.6666666666666666,0.5566666666666666
4.0,AZ Alkmaar,3,1,0,9,4,5,10,NAC Breda,15.0,31.08.2025,15:45,away,1,0,W,team,2.82,1.96,0.62,0.38,25,11,8,6,5,2,7,1,0.87,0.76,5.0,0.0,1.56,1.68,10,2,7,3,15,9,10,2,1,0,47,24,0,0,3,1,8,11,0.56,0.42,0.83,0.69,0.29,0.27,2.2,0.69,12,16,13,8,0.64,0.59,41,50,30,31,4,5,0,1,0,0,6,7,1.68,1.56,1.68,0.56,0.0,1.0,0.0,0.0,0,9,0,1,1,0.75,0.75,1.0,0.6666666666666666,0.5,1,0.4,1,0.75,0.645
3.0,Ajax,3,2,0,10,4,6,11,Telstar,14.0,10.08.2025,13:30,home,2,0,W,team,1.67,1.26,0.62,0.38,15,18,7,5,5,4,8,10,0.9,0.84,0.0,0.0,2.21,1.31,4,6,4,7,10,11,5,7,1,1,41,23,1,1,1,2,11,9,0.71,0.63,0.82,0.74,0.22,0.31,1.99,0.96,16,9,9,12,0.52,0.57,46,32,21,19,9,8,0,2,0,2,5,5,1.31,2.21,1.31,0.21,0.0,0.0,1.0,0.0,1,14,1,1,1,1.0,1.0,1.0,0.5,0.5,1,0.1,2,1.0,0.73
3.0,Ajax,3,2,0,10,4,6,11,Zwolle,10.0,13.09.2025,15:30,home,3,1,W,team,2.59,0.53,0.59,0.41,12,8,7,3,5,3,7,1,0.88,0.82,2.0,1.0,3.22,0.65,4,2,1,3,11,5,1,3,0,0,34,25,2,0,2,2,9,17,0.49,0.41,0.81,0.7,0.09,0.64,2.29,1.02,15,10,18,9,0.82,0.71,42,44,21,29,14,10,0,0,0,0,2,4,0.65,3.22,-0.35,0.22,0.0,0.0,0.0,0.0,1,17,1,1,1,1.0,1.0,1.0,0.5,0.5,2,0.30000000000000004,2,1.0,0.79
3.0,Ajax,3,2,0,10,4,6,11,G.A. Eagles,11.0,17.08.2025,11:15,away,2,2,D,draw,1.76,0.66,0.52,0.48,22,9,11,4,4,2,9,6,0.89,0.85,2.0,1.0,2.65,1.57,7,2,4,3,17,5,5,4,0,0,42,22,0,1,2,2,9,10,0.33,0.41,0.87,0.68,0.2,0.15,1.26,1.38,7,16,12,9,0.69,0.55,35,41,29,16,13,2,0,1,1,1,2,9,1.57,2.65,-0.43,0.65,0.0,0.0,2.0,1.0,1,5,0,0,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.5,0,0.30000000000000004,0,0.6666666666666666,0.5566666666666666
3.0,Ajax,3,2,0,10,4,6,11,Heracles,18.0,24.08.2025,15:45,home,2,0,W,team,2.66,0.16,0.66,0.34,27,4,10,0,3,0,10,1,0.9,0.76,0.0,2.0,2.79,0.0,6,2,11,2,23,3,4,1,0,0,55,9,0,0,4,1,15,7,0.51,0.38,0.85,0.51,0.32,0.17,3.52,0.22,19,16,10,15,0.58,0.62,47,29,20,22,10,8,0,1,0,1,0,8,0.0,2.79,0.0,0.79,0.0,0.0,0.0,0.0,1,8,1,1,1,0.75,0.75,1.0,0.0,0.5,1,0.4,2,0.75,0.645
3.0,Ajax,3,2,0,10,4,6,11,FC Volendam,12.0,30.08.2025,15:30,away,1,1,D,draw,1.39,0.77,0.69,0.31,13,11,4,4,2,1,7,2,0.89,0.77,3.0,2.0,0.85,0.91,8,4,1,3,9,2,4,9,0,0,31,14,1,1,2,1,11,15,0.67,0.38,0.82,0.59,0.21,0.15,1.17,0.57,15,10,15,12,0.6,0.68,36,46,23,32,10,11,1,0,0,0,3,3,0.91,0.85,-0.09,-0.15,0.0,0.0,0.0,0.0,1,3,0,0,0,0.6,0.6,1.0,0.0,0.5,0,0.2,0,0.6,0.48
16.0,Excelsior,1,0,4,3,12,-9,3,Nijmegen,5.0,09.08.2025,15:30,away,0,5,L,opponent,1.03,2.49,0.38,0.62,9,16,6,10,2,3,2,7,0.71,0.8,1.0,1.0,1.23,4.49,1,5,2,1,8,12,1,4,0,1,17,32,0,2,0,2,12,14,0.49,0.4,0.55,0.66,0.31,0.08,0.93,2.0,22,28,14,14,0.63,0.68,54,63,21,19,11,4,0,0,0,0,5,6,4.49,1.23,-0.51,1.23,0.0,0.0,0.0,1.0,2,10,0,2,2,0.0,0.0,0.5,0.0,0.5,0,0.0,-5,0.0,0.0
