Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,Team_encoded,Opponent_encoded,Home_encoded,Outcome_encoded,Target_encoded,win_rate_global,win_rate_lastN,home_win_rate,away_win_rate,h2h_win_rate,win_streak,form_score,goal_diff,goal_diff_win_rate,weighted_outcome
2.0,Arsenal,20,14,4,69,34,35,74,Brentford,10.0,01.01.2025,17:30,away,3,1,W,team,1.95,0.29,0.5,0.5,14,5,5,2,2.0,0.0,3,4,0.83,0.83,2.0,1.0,4,2,5,1,11.0,4.0,3.0,1.0,0.0,0.0,47.0,10.0,6,0,6,8,0.8,0.68,0.3,0.13,8,10,8,6,0.5,0.7,21.0,29.0,6.0,7.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,3,0,1,1,1.0,1.0,0.5,1.0,0.5,1,0.1,2,1.0,0.73
2.0,Arsenal,20,14,4,69,34,35,74,Fulham,11.0,01.04.2025,19:45,home,2,1,W,team,2.31,0.81,0.52,0.48,17,9,4,3,3.0,2.0,5,4,0.9,0.87,1.0,3.0,6,4,7,2,15.0,8.0,2.0,1.0,0.0,0.0,38.0,15.0,5,0,10,2,0.82,0.8,0.32,0.27,13,9,2,10,0.46,0.81,14.0,32.0,3.0,4.0,2,2,1.88,0.89,0.0,0.0,0.42,0.5,1.2,0.95,39.0,42.0,0.0,1.0,0.0,1.0,0.89,1.88,-0.11,-0.12,1.0,0.0,0.0,0.0,0,8,1,1,1,1.0,1.0,1.0,1.0,0.5,2,0.30000000000000004,1,1.0,0.79
2.0,Arsenal,20,14,4,69,34,35,74,Manchester City,3.0,02.02.2025,16:30,home,5,1,W,team,1.04,0.81,0.46,0.54,12,7,7,4,2.0,1.0,5,2,0.86,0.89,2.0,0.0,2,3,3,0,8.0,5.0,4.0,2.0,0.0,1.0,17.0,15.0,3,1,7,6,0.77,0.89,0.08,0.21,14,14,6,7,0.46,0.62,20.0,21.0,6.0,6.0,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,12,1,1,1,1.0,1.0,1.0,1.0,0.5,3,0.6,4,1.0,0.8799999999999999
2.0,Arsenal,20,14,4,69,34,35,74,Newcastle,5.0,02.11.2024,12:30,away,0,1,L,opponent,1.11,0.75,0.64,0.36,10,9,1,4,0.0,0.0,6,4,0.86,0.69,4.0,4.0,6,2,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,16,18,0.0,0.0,0.0,0.0,17,17,18,16,0.0,0.0,0.0,0.0,5.0,6.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,0,2,2,0.75,0.75,1.0,0.5,0.5,0,0.30000000000000004,-1,0.75,0.615
2.0,Arsenal,20,14,4,69,34,35,74,Bournemouth,9.0,03.05.2025,17:30,home,1,2,L,opponent,1.43,1.06,0.51,0.49,13,9,4,2,3.0,3.0,2,3,0.85,0.83,0.0,2.0,5,5,4,2,12.0,6.0,1.0,3.0,0.0,0.0,33.0,10.0,3,0,16,7,0.74,0.65,0.13,0.4,14,13,7,16,0.75,0.45,14.0,17.0,8.0,9.0,0,3,1.57,1.15,3.0,1.0,0.38,0.42,0.97,0.73,47.0,34.0,1.0,0.0,0.0,0.0,1.15,1.57,-0.85,0.57,0.0,1.0,0.0,0.0,0,2,1,2,2,0.6,0.6,0.6666666666666666,0.5,0.5,0,0.1,-1,0.6,0.44999999999999996
2.0,Arsenal,20,14,4,69,34,35,74,Brighton,8.0,04.01.2025,17:30,away,1,1,D,draw,0.84,1.56,0.55,0.45,9,11,3,4,5.0,3.0,5,2,0.88,0.87,3.0,2.0,4,4,2,3,6.0,6.0,3.0,5.0,1.0,0.0,24.0,17.0,3,0,17,14,0.78,0.7,0.2,0.2,10,9,14,17,0.5,0.91,9.0,22.0,5.0,8.0,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,0,0.5,0.4,0.6666666666666666,0.3333333333333333,0.5,0,0.0,0,0.4,0.28
2.0,Arsenal,20,14,4,69,34,35,74,Manchester Utd,15.0,04.12.2024,20:15,home,2,0,W,team,2.33,0.31,0.5,0.5,14,5,6,2,5.0,0.0,13,0,0.87,0.86,1.0,3.0,3,3,5,0,13.0,3.0,1.0,2.0,0.0,0.0,35.0,6.0,2,2,8,12,0.72,0.74,0.32,0.17,16,11,12,8,0.67,0.53,7.0,24.0,4.0,12.0,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,13,1,1,1,0.5714285714285714,0.4,0.75,0.3333333333333333,0.5,1,0.3,2,0.4,0.37000000000000005
2.0,Arsenal,20,14,4,69,34,35,74,Everton,13.0,05.04.2025,12:30,away,1,1,D,draw,1.83,1.05,0.71,0.29,14,5,5,2,1.0,2.0,8,3,0.87,0.7,1.0,3.0,3,2,6,1,11.0,4.0,3.0,1.0,0.0,0.0,44.0,19.0,1,0,17,13,0.73,0.54,0.22,0.14,14,17,13,17,0.41,0.65,29.0,32.0,3.0,5.0,1,4,0.98,0.96,0.0,0.0,0.42,0.35,0.79,0.42,62.0,43.0,0.0,0.0,0.0,1.0,0.96,0.98,-0.04,-0.02,0.0,0.0,0.0,0.0,0,7,0,0,0,0.5,0.2,0.75,0.25,0.5,0,0.2,0,0.2,0.2
2.0,Arsenal,20,14,4,69,34,35,74,Southampton,20.0,05.10.2024,15:00,home,3,1,W,team,2.32,0.85,0.59,0.41,29,8,6,2,0.0,0.0,13,1,0.0,0.0,0.0,3.0,13,4,10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,9,12,0.0,0.0,0.0,0.0,21,7,10,9,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16,1,1,1,0.5555555555555556,0.4,0.8,0.25,0.5,1,0.4,2,0.4,0.4
2.0,Arsenal,20,14,4,69,34,35,74,Fulham,11.0,08.12.2024,14:00,away,1,1,D,draw,1.93,0.14,0.67,0.33,12,2,4,2,4.0,0.0,6,0,0.89,0.72,2.0,4.0,8,0,0,0,10.0,2.0,2.0,0.0,0.0,0.0,34.0,3.0,3,0,10,9,0.77,0.58,0.25,0.0,23,9,9,10,0.71,0.59,10.0,24.0,6.0,10.0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,0,0,0,0.5,0.4,0.8,0.2,1.0,0,0.2,0,0.4,0.34
