Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,Team_encoded,Opponent_encoded,Home_encoded,Outcome_encoded,Target_encoded,win_rate_global,win_rate_lastN,home_win_rate,away_win_rate,h2h_win_rate,win_streak,form_score,goal_diff,goal_diff_win_rate,weighted_outcome
3.0,Arsenal,2,0,1,6,1,5,6,Manchester Utd,0.0,17.08.2025,16:30,away,1,0,W,team,1.3,1.52,0.39,0.61,9,22,3,7,1,0,4,3,0.74,0.83,4.0,1.0,1.21,0.75,3,7,3,8,5,15,4,7,0,1,20,36,1,2,2,1,10,19,0.41,0.61,0.61,0.74,0.18,0.2,0.51,0.94,15,20,19,10,0.56,0.5,53,70,30,23,4,4,0,0,0,1,7,2,0.75,1.21,0.75,0.21,0.0,0.0,1.0,0.0,0,13,0,1,1,1.0,1.0,0.5,1.0,0.5,1,0.1,1,1.0,0.73
3.0,Arsenal,2,0,1,6,1,5,6,Leeds,12.0,23.08.2025,17:30,home,5,0,W,team,2.88,0.17,0.68,0.32,18,3,5,1,3,0,2,2,0.92,0.76,0.0,2.0,2.77,0.14,9,0,4,2,13,2,5,1,0,0,34,6,1,0,0,0,11,8,0.69,0.35,0.76,0.58,0.42,0.2,0.9,0.12,28,14,8,11,0.62,0.71,48,33,7,20,5,6,0,1,0,0,1,0,0.14,2.77,0.14,-2.23,0.0,0.0,1.0,0.0,0,10,1,1,1,1.0,1.0,1.0,1.0,0.5,2,0.30000000000000004,5,1.0,0.79
3.0,Arsenal,2,0,1,6,1,5,6,Liverpool,1.0,31.08.2025,16:30,away,0,1,L,opponent,0.49,0.53,0.47,0.53,11,9,1,3,0,0,8,3,0.82,0.85,2.0,2.0,0.56,0.27,3,2,7,4,8,4,3,5,0,0,29,16,0,0,0,1,7,10,0.5,0.45,0.62,0.67,0.18,0.14,0.44,0.22,16,19,10,7,0.43,0.82,32,38,19,29,9,7,1,0,0,0,2,1,0.27,0.56,-0.73,0.56,0.0,0.0,0.0,0.0,0,11,0,2,2,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,0,0.30000000000000004,-1,0.6666666666666666,0.5566666666666666
19.0,Aston Villa,0,1,2,0,4,-4,1,Newcastle,17.0,16.08.2025,12:30,home,0,0,D,draw,0.2,1.44,0.4,0.6,3,16,3,3,1,2,3,6,0.73,0.83,1.0,1.0,0.2,0.64,0,6,0,7,3,9,0,7,0,0,14,33,0,1,2,1,11,13,0.29,0.49,0.55,0.76,0.27,0.23,0.24,0.88,18,9,13,11,0.45,0.8,40,43,20,22,10,12,0,0,0,0,3,3,0.64,0.2,0.64,0.2,1.0,0.0,0.0,0.0,1,14,1,0,0,0.0,0.0,0.0,0.5,0.5,0,0.0,0,0.0,0.0
19.0,Aston Villa,0,1,2,0,4,-4,1,Brentford,15.0,23.08.2025,15:00,away,0,1,L,opponent,1.2,1.22,0.76,0.24,17,9,2,2,1,2,9,2,0.88,0.72,2.0,1.0,0.14,1.36,7,4,8,3,12,8,5,1,0,0,43,25,1,1,0,1,11,9,0.61,0.48,0.76,0.53,0.15,0.45,1.52,0.35,23,13,9,11,0.86,0.54,52,62,12,45,6,11,0,0,0,0,1,2,1.36,0.14,0.36,0.14,0.0,0.0,0.0,0.0,1,3,0,2,2,0.0,0.0,0.0,0.0,0.5,0,0.0,-1,0.0,0.0
19.0,Aston Villa,0,1,2,0,4,-4,1,Crystal Palace,8.0,31.08.2025,19:00,home,0,3,L,opponent,1.14,2.65,0.58,0.42,13,6,4,4,2,4,10,1,0.89,0.85,2.0,3.0,1.01,2.45,8,1,1,1,10,5,3,1,0,0,20,14,0,2,0,2,13,7,0.64,0.44,0.77,0.69,0.19,0.18,0.68,1.19,20,9,7,14,0.45,0.62,37,48,17,37,6,10,0,1,0,0,1,4,2.45,1.01,-0.55,1.01,0.0,0.0,0.0,1.0,1,7,1,2,2,0.0,0.0,0.0,0.0,0.5,0,0.0,-3,0.0,0.0
7.0,Bournemouth,2,0,1,4,4,0,6,Liverpool,1.0,15.08.2025,20:00,away,2,4,L,opponent,1.7,2.21,0.39,0.61,10,19,3,10,3,3,7,6,0.7,0.82,2.0,1.0,0.82,3.05,4,7,3,2,8,15,2,4,0,0,28,36,0,0,2,2,6,10,0.34,0.57,0.52,0.68,0.25,0.29,0.65,1.07,17,27,10,7,0.6,0.81,52,63,45,41,11,4,0,0,0,1,6,1,3.05,0.82,-0.95,-1.18,0.0,0.0,0.0,0.0,2,11,0,2,2,0.0,0.0,0.5,0.0,0.5,0,0.0,-2,0.0,0.0
7.0,Bournemouth,2,0,1,4,4,0,6,Wolves,20.0,23.08.2025,15:00,home,1,0,W,team,1.29,0.47,0.59,0.41,14,6,4,1,3,0,8,3,0.87,0.73,2.0,4.0,0.93,0.24,5,3,5,2,8,3,6,3,1,0,30,14,1,0,2,2,16,13,0.45,0.49,0.78,0.59,0.15,0.29,1.13,0.37,24,18,13,16,0.75,0.67,45,64,32,30,6,9,0,0,0,1,1,3,0.24,0.93,0.24,-0.07,0.0,1.0,0.0,0.0,2,19,1,1,1,0.5,0.5,1.0,0.0,0.5,1,0.2,1,0.5,0.41000000000000003
7.0,Bournemouth,2,0,1,4,4,0,6,Tottenham,4.0,30.08.2025,15:00,away,1,0,W,team,1.59,0.19,0.39,0.61,20,5,6,1,3,0,8,0,0.7,0.83,4.0,2.0,1.48,0.22,9,3,5,1,15,3,5,2,1,0,29,18,1,1,3,2,17,13,0.33,0.37,0.56,0.56,0.28,0.25,0.8,0.27,15,25,13,17,0.46,0.5,69,56,31,33,9,4,0,1,0,0,1,5,0.22,1.48,0.22,0.48,0.0,0.0,0.0,0.0,2,17,0,1,1,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,2,0.5,1,0.6666666666666666,0.6166666666666666
15.0,Brentford,1,0,2,3,5,-2,3,Nottingham,0.0,17.08.2025,14:00,away,1,3,L,opponent,1.49,1.83,0.46,0.54,10,11,3,5,1,4,5,5,0.78,0.82,2.0,1.0,1.47,2.43,4,4,3,2,7,6,3,5,0,0,19,25,0,2,0,2,5,15,0.32,0.33,0.51,0.75,0.19,0.21,0.26,1.0,19,19,15,7,0.3,0.58,48,53,27,24,5,9,0,2,1,0,2,2,2.43,1.47,-0.57,0.47,0.0,0.0,0.0,1.0,3,15,0,2,2,0.0,0.0,0.5,0.0,0.5,0,0.0,-2,0.0,0.0
