Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,Team_encoded,Opponent_encoded,Home_encoded,Outcome_encoded,Target_encoded,win_rate_global,win_rate_lastN,home_win_rate,away_win_rate,h2h_win_rate,win_streak,form_score,goal_diff,goal_diff_win_rate,weighted_outcome
14.0,CFR Cluj,1,3,3,11,16,-5,6,Univ. Craiova,1.0,03.08.2025,19:30,home,2,3,L,opponent,1.79,0.51,0.54,0.46,24,7,6,4,0,1,9,1,0.84,0.78,3.0,5.0,1.75,0.94,10,1,8,2,17,5,7,2,0,0,2.0,0.0,38,10,0,0,2,2,16,15,0.51,0.43,0.7,0.62,0.32,0.2,1.45,0.17,14,21,15,16,0.62,0.73,50,44,6,41,8,7,0,0,0,0,1,4,0.94,1.75,-2.06,-0.25,0.0,0.0,0,15,1,2,2,0.0,0.0,0.0,0.5,0.5,0,0.0,-1,0.0,0.0
14.0,CFR Cluj,1,3,3,11,16,-5,6,Unirea Slobozia,9.0,13.07.2025,19:30,home,2,1,W,team,1.1,0.67,0.6,0.4,10,12,4,3,3,1,5,2,0.77,0.7,1.0,1.0,1.98,0.81,5,5,1,4,7,5,3,7,1,0,1.0,0.0,18,11,0,0,2,1,16,14,0.42,0.35,0.61,0.56,0.35,0.15,1.51,0.16,21,23,14,16,0.92,0.5,55,40,25,25,10,8,0,1,0,1,2,2,0.81,1.98,-0.19,-0.02,0.0,0.0,0,14,1,1,1,0.5,0.5,0.5,0.5,0.5,1,0.2,1,0.5,0.41000000000000003
14.0,CFR Cluj,1,3,3,11,16,-5,6,FC Botosani,5.0,17.08.2025,16:30,home,3,3,D,draw,4.12,1.23,0.53,0.47,30,8,15,3,7,3,12,1,0.74,0.69,2.0,3.0,5.49,1.84,12,0,3,5,24,4,6,4,0,0,0.0,2.0,43,12,1,2,5,0,15,7,0.45,0.29,0.63,0.52,0.39,0.38,2.37,0.68,31,21,7,15,0.43,0.73,60,39,32,31,11,10,0,0,0,0,0,12,1.84,5.49,-1.16,2.49,0.0,0.0,0,4,1,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0,0.2,0,0.3333333333333333,0.29333333333333333
14.0,CFR Cluj,1,3,3,11,16,-5,6,FC Rapid Bucuresti,2.0,20.07.2025,19:30,away,1,1,D,draw,0.99,1.38,0.42,0.58,15,24,3,7,0,2,4,5,0.79,0.88,2.0,1.0,1.2,1.8,5,12,7,5,10,6,5,18,0,0,0.0,0.0,22,13,0,0,0,0,6,15,0.58,0.55,0.61,0.81,0.36,0.15,0.65,0.85,16,20,15,6,0.57,0.33,43,48,20,25,10,12,0,0,0,0,6,2,1.8,1.2,0.93,0.2,0.0,0.0,0,6,0,0,0,0.25,0.25,0.3333333333333333,0.0,0.5,0,0.1,0,0.25,0.20500000000000002
14.0,CFR Cluj,1,3,3,11,16,-5,6,Otelul,10.0,24.08.2025,14:15,away,1,4,L,opponent,0.69,2.71,0.39,0.61,14,10,5,5,1,3,5,3,0.72,0.83,1.0,2.0,0.64,2.57,3,3,6,2,6,10,8,0,0,0,0.0,0.0,12,25,0,0,2,0,14,4,0.35,0.5,0.61,0.72,0.21,0.29,0.37,1.11,24,17,4,14,0.62,0.54,50,42,25,37,10,11,1,1,3,1,1,4,2.57,0.64,-1.43,-0.36,1.0,0.0,0,10,0,2,2,0.2,0.2,0.3333333333333333,0.0,0.5,0,0.0,-3,0.2,0.14
14.0,CFR Cluj,1,3,3,11,16,-5,6,FC Arges,4.0,27.07.2025,16:30,home,0,2,L,opponent,1.01,0.83,0.63,0.37,12,11,1,4,2,2,8,4,0.76,0.6,2.0,3.0,0.22,2.82,6,7,5,0,6,6,6,5,0,0,0.0,1.0,19,10,0,0,2,1,9,13,0.44,0.3,0.59,0.47,0.19,0.27,0.9,1.02,30,19,13,9,0.17,0.67,53,55,21,35,4,12,1,1,0,0,2,1,2.82,0.22,0.82,0.22,0.0,0.0,0,3,1,2,2,0.16666666666666666,0.2,0.25,0.0,0.5,0,0.0,-2,0.2,0.14
14.0,CFR Cluj,1,3,3,11,16,-5,6,FCSB,13.0,31.08.2025,19:30,home,2,2,D,draw,1.18,2.06,0.38,0.62,11,22,6,5,1,2,1,6,0.75,0.84,0.0,3.0,1.63,1.9,3,8,2,9,5,14,6,8,0,0,2.0,1.0,10,25,0,1,3,1,8,11,0.33,0.54,0.73,0.78,0.4,0.48,0.37,1.37,18,17,12,9,0.79,0.67,38,48,31,8,6,11,0,0,0,0,3,4,1.9,1.63,-0.1,-0.37,1.0,0.0,0,7,1,0,0,0.14285714285714285,0.0,0.2,0.0,0.5,0,0.0,0,0.0,0.0
15.0,Csikszereda M. Ciuc,0,2,5,7,19,-12,2,Otelul,10.0,01.09.2025,16:00,home,1,1,D,draw,1.41,0.61,0.39,0.61,15,13,6,2,1,1,7,4,0.68,0.78,1.0,3.0,0.58,0.72,4,4,5,7,7,10,8,3,0,0,0.0,1.0,15,22,0,0,1,2,20,11,0.44,0.42,0.54,0.64,0.22,0.33,0.57,0.76,22,26,12,20,0.62,0.3,54,54,25,18,6,8,0,1,0,0,1,5,0.72,0.58,-0.28,-0.42,1.0,0.0,1,10,1,0,0,0.0,0.0,0.0,0.5,0.5,0,0.0,0,0.0,0.0
15.0,Csikszereda M. Ciuc,0,2,5,7,19,-12,2,FC Arges,4.0,02.08.2025,16:30,away,1,3,L,opponent,0.25,1.67,0.59,0.41,4,13,2,3,0,3,0,2,0.79,0.74,1.0,3.0,0.35,2.09,2,8,0,2,2,9,2,4,0,0,0.0,1.0,6,22,0,0,5,1,18,11,0.51,0.45,0.55,0.58,0.13,0.47,0.19,1.16,32,22,11,18,0.86,0.6,46,55,20,29,6,11,0,0,0,0,0,1,2.09,0.35,-0.91,-0.65,0.0,0.0,1,3,0,2,2,0.0,0.0,0.0,0.0,0.5,0,0.0,-2,0.0,0.0
15.0,Csikszereda M. Ciuc,0,2,5,7,19,-12,2,Din. Bucuresti,3.0,14.07.2025,19:30,home,2,2,D,draw,0.39,1.34,0.27,0.73,5,17,3,10,2,2,0,9,0.61,0.89,1.0,2.0,1.06,2.66,2,6,0,1,2,5,3,12,1,1,0.0,1.0,6,29,1,1,2,1,11,13,0.26,0.41,0.38,0.72,0.0,0.12,0.22,1.02,22,22,13,11,0.67,0.71,38,44,40,16,8,8,1,0,0,0,8,1,2.66,1.06,0.52,0.06,0.0,0.0,1,2,1,0,0,0.0,0.0,0.0,0.0,0.5,0,0.0,0,0.0,0.0
