Rank,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,opponent_rank,Time,team_goals,opponent_goals,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Passes_team,stat_Passes_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent
1.0,15,11,4,43,24,19,56,11.0,0.9649999995174999,2,0,0.59,0.41,20,9,8,2,6,5,1.0,1.0,6,4,6,3,0,1,3.0,7.0,24,24,13,9,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,15,11,4,43,24,19,56,2.0,0.89999999955,1,1,0.58,0.42,7,9,3,4,2,4,4.0,2.0,3,5,1,0,2,0,11.0,14.0,24,25,14,11,3,2,0.73,1.12,1.0,2.0,0.8,0.73,1.0,0.0,6.0,5.0,1.0,4.0,0.0,0.0,1.0,0.0,13.0,11.0,0.62,0.54,0.25,0.22,0.7,0.45,26.0,15.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,15,11,4,43,24,19,56,6.0,0.89999999955,0,0,0.42,0.58,10,10,4,1,2,8,6.0,4.0,5,5,1,4,3,2,18.0,10.0,16,16,10,18,1,4,1.09,0.97,1.0,0.0,0.75,0.82,1.0,0.0,5.0,6.0,5.0,4.0,0.0,0.0,0.0,0.0,23.0,26.0,0.66,0.69,0.44,0.21,0.56,0.8,29.0,22.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,15,11,4,43,24,19,56,12.0,0.9149999995425,4,1,0.51,0.49,19,13,9,3,6,3,2.0,2.0,6,9,4,1,1,2,13.0,14.0,20,23,14,13,2,5,2.91,1.51,4.0,2.0,0.66,0.7,0.0,0.0,15.0,8.0,4.0,5.0,0.0,0.0,0.0,0.0,29.0,16.0,0.5,0.57,0.58,0.5,0.63,0.43,11.0,26.0,18.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,15,11,4,43,24,19,56,3.0,0.9499999995249999,1,1,0.59,0.41,15,15,5,3,6,4,5.0,5.0,6,5,4,7,5,2,7.0,14.0,22,17,14,7,2,4,0.87,1.82,0.0,0.0,0.85,0.77,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,15,11,4,43,24,19,56,4.0,0.95749999952125,1,0,0.54,0.46,12,3,3,2,3,0,1.0,2.0,4,1,5,0,3,0,10.0,9.0,30,30,9,10,2,2,1.36,0.06,1.0,0.0,0.85,0.79,0.0,0.0,6.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,17.0,4.0,0.7,0.63,0.29,0.0,0.58,0.67,16.0,17.0,14.0,9.0,0.8,0.11,0.0,0.0,0.58,0.37,0.45,0.11,53.0,43.0,0.0,0.0,0.11,0.8,0.11,-0.2
1.0,15,11,4,43,24,19,56,5.0,0.9149999995425,3,1,0.48,0.52,8,10,4,3,2,7,0.0,5.0,2,3,2,4,2,2,10.0,18.0,15,13,18,10,2,1,1.09,1.54,2.0,3.0,0.83,0.84,0.0,0.0,5.0,8.0,3.0,2.0,1.0,0.0,1.0,0.0,17.0,18.0,0.71,0.66,0.19,0.31,0.6,0.53,12.0,15.0,12.0,7.0,1.55,1.48,0.0,1.0,0.45,0.51,0.64,0.72,34.0,47.0,1.0,0.0,1.48,1.55,0.48,-1.45
1.0,15,11,4,43,24,19,56,9.0,0.9149999995425,0,0,0.62,0.38,14,11,6,0,6,1,0.0,1.0,5,9,3,2,4,2,10.0,10.0,27,21,10,10,0,6,1.06,0.68,1.0,1.0,0.79,0.68,0.0,0.0,10.0,4.0,4.0,7.0,0.0,0.0,0.0,0.0,30.0,16.0,0.63,0.54,0.33,0.2,0.56,0.4,28.0,32.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,15,11,4,43,24,19,56,16.0,0.9499999995249999,3,2,0.65,0.35,26,7,8,2,8,2,0.0,2.0,14,2,4,3,1,0,8.0,6.0,19,14,6,8,0,5,2.17,0.6,0.0,0.0,0.84,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,15,11,4,43,24,19,56,14.0,0.9149999995425,2,1,0.7,0.3,18,4,8,2,7,2,0.0,3.0,4,1,6,1,4,3,9.0,10.0,22,15,10,9,1,6,2.32,0.25,3.0,0.0,0.86,0.72,0.0,0.0,14.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,29.0,16.0,0.68,0.66,0.44,0.17,0.73,0.8,19.0,31.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
